,0,1,2,3,4,5,6,7,8,9,10,11,12,13,ダ,芝,1,不,稍,良,重,16,17,18,19,20,21,22,23,24,25,26,27
0,2007/07/13,大井,曇,10,東京サマーランド賞競,,14,5,7,125.1,13,14,折笠豊和,54,1.0,0.0,1800,1.0,0.0,0.0,0.0,**,1:58.2,6.8,**,7-7-14-14,37.8-36.7,42.1,457(0),,,フリートアピール,
1,2007/06/26,大井,曇,10,日刊スポーツ賞競走,,14,5,8,104.6,12,10,金子正彦,54,1.0,0.0,1600,0.0,1.0,0.0,0.0,**,1:42.2,1.7,**,10-10-11-11,35.9-40.2,40.4,457(-2),,,シーサーハーン,
2,2007/06/21,浦和,曇,10,雲取山特別,,9,3,3,57.5,8,8,坂井英光,56,1.0,0.0,1600,0.0,0.0,1.0,0.0,**,1:46.6,2.3,**,9-9-9-8,39.5-38.4,39.0,459(+2),,,コスモシェアト,
3,2007/06/06,大井,晴,12,ハッピーナイト賞競走,,13,8,13,79.1,12,10,金子正彦,55,1.0,0.0,1200,0.0,0.0,1.0,0.0,**,1:14.6,2.1,**,4-5,35.2-37.3,39.1,457(0),,,ロイヤルキャプテン,
4,2007/06/01,浦和,晴,9,忍城特別,,11,2,2,39.4,9,5,桑島孝春,54,1.0,0.0,1900,0.0,1.0,0.0,0.0,**,2:06.0,1.7,**,7-8-8-6,31.8-39.2,39.8,457(+3),,,マイネプレリュード,24.0
5,2007/05/18,川崎,曇,9,新緑特別,,12,7,10,144.2,11,8,金子正彦,55,1.0,0.0,1600,0.0,1.0,0.0,0.0,,1:42.8,1.6,,11-10-11-9,36.8-38.9,38.4,454(-1),,,ガッサンプリンス,
6,2007/05/01,船橋,小雨,10,昇竜特別,,12,6,7,26.1,7,8,金子正彦,56,1.0,0.0,1700,0.0,1.0,0.0,0.0,,1:49.1,2.7,,11-9-9-9,29.8-38.5,39.4,455(-6),,,カネゼンクラウス,
7,2007/04/27,浦和,曇,9,武甲山特別,,11,1,1,42.8,9,5,金子正彦,54,1.0,0.0,1600,0.0,1.0,0.0,0.0,,1:44.2,1.4,,9-9-7-5,36.8-39.9,38.9,461(-2),,,サウンドサンデー,24.0
8,2007/04/13,川崎,曇,9,アゼリア特別,,8,1,1,15.3,6,5,金子正彦,54,1.0,0.0,1400,0.0,1.0,0.0,0.0,,1:30.2,1.0,,7-7-7-6,37.8-39.6,38.2,463(+4),,,キングオブライヒ,24.0
9,2007/04/05,船橋,晴,9,爽春特別,,14,3,3,22.8,6,6,金子正彦,56,1.0,0.0,1700,1.0,0.0,0.0,0.0,,1:47.8,1.8,,11-11-10-8,29.1-39.1,39.9,459(-2),,,ラブイズゴールド,
10,2007/03/23,浦和,晴,10,美の山特別,,8,3,3,2.8,2,7,金子正彦,54,1.0,0.0,1400,0.0,0.0,1.0,0.0,,1:30.4,1.2,,6-6-6-5,37.1-39.2,39.3,461(-1),,,ミヤビフェラーリ,
11,2007/03/08,船橋,晴,10,満作特別,,12,6,7,35.9,8,4,金子正彦,56,1.0,0.0,1700,0.0,1.0,0.0,0.0,,1:49.7,0.8,,7-7-7-7,30.7-39.9,39.1,462(+5),,,カネマサスピーディ,31.2
12,2007/02/26,川崎,晴,9,観梅特別,,11,6,6,73.6,8,3,金子正彦,55,1.0,0.0,1500,0.0,1.0,0.0,0.0,,1:36.0,1.5,,9-9-8-5,29.8-39.0,39.4,457(-3),,,ワレンダーソロン,52.0
13,2007/02/16,浦和,晴,10,雁坂特別,,11,4,4,82.0,10,4,金子正彦,55,1.0,0.0,1600,0.0,0.0,1.0,0.0,,1:44.9,0.7,,8-7-9-8,37.7-40.2,39.8,460(+2),,,アルバトロス,28.6
14,2007/02/08,船橋,晴,11,駿麗特別,,10,1,1,29.1,5,7,水野貴史,56,1.0,0.0,1600,0.0,0.0,1.0,0.0,,1:42.8,2.0,,10-10-10-9,37.9-38.3,38.3,458(-5),,,トップディアマンテ,
15,2007/02/02,川崎,晴,9,立春特別,,14,7,11,106.5,11,7,水野貴史,54,1.0,0.0,1600,0.0,0.0,1.0,0.0,,1:44.0,1.3,,14-13-12-11,35.6-42.0,38.3,463(-2),,,エフケータイガー,
16,2007/01/16,浦和,晴,10,マルチマックス特別,,12,7,10,26.5,7,8,的場文男,56,1.0,0.0,1400,0.0,0.0,1.0,0.0,,1:31.2,2.2,,5-5-5-3,36.5-39.5,41.4,465(+1),,,ケイアイプラネット,
17,2007/01/10,船橋,晴,10,水泉特別,,13,8,13,25.2,7,7,水野貴史,56,1.0,0.0,1600,0.0,0.0,0.0,1.0,,1:41.9,1.6,,9-9-9-8,37.6-37.9,38.3,464(+8),,,ミスエムカーベー,
18,2006/12/22,浦和,曇,10,三峰山特別,,8,3,3,6.6,3,3,的場文男,55,1.0,0.0,1600,0.0,1.0,0.0,0.0,,1:43.5,0.3,,5-5-5-3,37.5-39.6,38.8,456(+1),,,バカウ,37.4
19,2006/12/13,川崎,雨,11,ハッピーエンド特別,,11,8,11,41.3,7,6,水野貴史,54,1.0,0.0,1500,0.0,1.0,0.0,0.0,,1:36.8,1.4,,9-9-8-6,31.0-39.0,39.2,455(+9),,,トキノフレンチ,
20,2006/11/11,5東京3,雨,8,3歳上500万下,,18,2,3,52.7,12,12,田中勝春,57,0.0,1.0,1600,0.0,0.0,1.0,0.0,**,1:36.6,1.5,**,14-12,35.2-35.3,35.6,446(+8),,,ノーザンスター,
21,2006/10/01,2札幌8,晴,7,3歳上500万下,,14,8,14,14.2,6,10,菊沢隆徳,57,0.0,1.0,1500,0.0,0.0,1.0,0.0,**,1:30.1,1.8,**,8-6-6,29.3-35.4,36.6,438(0),,,キタサンメッセージ,
22,2006/09/16,2札幌3,晴,10,手稲山特別(500万下),,11,3,3,19.8,6,7,津村明秀,57,0.0,1.0,1500,0.0,0.0,1.0,0.0,**,1:29.8,1.0,**,5-8-9,30.1-34.5,34.9,438(-8),,,フミノバラード,
23,2006/09/02,3新潟7,晴,9,新発田城特別(500万下),,18,8,16,11.9,7,6,後藤浩輝,57,0.0,1.0,1400,0.0,0.0,1.0,0.0,**,1:22.4,0.3,**,8-5,34.5-35.7,35.2,446(-8),,,ハイビスカス,
24,2006/07/22,2新潟3,曇,12,3歳上500万下,,18,5,9,5.6,2,12,蛯名正義,57,0.0,1.0,1800,0.0,0.0,1.0,0.0,**,1:48.4,0.6,**,9-9,35.5-34.7,34.7,454(+4),,,レッドスターライト,
25,2006/06/10,3東京7,曇,7,4歳上500万下,,18,1,1,6.3,2,8,内田博幸,57,0.0,1.0,1800,0.0,0.0,1.0,0.0,**,1:49.4,0.7,**,7-5-5,36.6-35.4,35.6,450(-2),,,オンリーワンクロス,
26,2006/05/07,2東京6,雨,8,4歳上500万下,,17,3,5,6.3,2,6,田中勝春,57,0.0,1.0,1600,0.0,0.0,1.0,0.0,**,1:35.4,0.5,**,3-2,35.4-35.2,35.6,452(+6),,,アイリッシュホーク,
27,2006/04/22,2東京1,晴,8,4歳上500万下,,17,4,7,3.2,1,3,田中勝春,57,0.0,1.0,1600,0.0,0.0,1.0,0.0,**,1:35.4,0.2,**,7-7,35.7-34.8,34.6,446(-4),,,アルシャトル,190.0
28,2006/04/01,3中山3,晴,7,4歳上500万下,,15,7,13,16.0,6,2,田中勝春,57,0.0,1.0,1800,0.0,0.0,1.0,0.0,**,1:49.0,0.2,**,5-6-5-4,36.8-35.4,35.2,450(0),,,マリアヴァレリア,300.0
29,2006/03/11,1中京3,晴,10,美濃特別(500万下),,16,5,10,5.3,4,8,武幸四郎,57,0.0,1.0,1800,0.0,0.0,1.0,0.0,**,1:50.1,1.2,**,14-15-14-14,36.3-35.1,35.2,450(-8),,,フルヴィクトリー,
30,2006/01/29,1東京2,晴,9,4歳上500万下,,16,1,2,71.1,10,6,福永祐一,57,0.0,1.0,1800,0.0,0.0,1.0,0.0,**,1:48.6,0.5,**,11-13-14,36.5-34.5,33.5,458(+10),,,アクレイム,
31,2005/08/20,3新潟3,晴,8,3歳上500万下,,18,3,5,6.8,4,11,柴田善臣,57,0.0,1.0,1600,0.0,0.0,1.0,0.0,,1:35.5,0.9,,5-6,35.9-34.0,34.3,448(+6),,,フクノファイン,
32,2004/11/20,5東京5,晴,10,相模湖特別(1000万下),,16,7,14,23.0,10,12,江田照男,56,0.0,1.0,1400,0.0,1.0,0.0,0.0,,1:22.8,0.4,,13-12,35.7-34.8,34.1,442(0),,,タツショウワ,
33,2004/11/07,5東京2,晴,12,3歳上1000万下,,13,8,13,13.6,7,7,岡部幸雄,56,0.0,1.0,1400,0.0,0.0,1.0,0.0,,1:22.6,0.6,,7-9,35.5-34.8,34.6,442(0),,,スイートチャーム,
34,2004/06/13,3東京8,曇,10,エーデルワイスS(1000万下),,18,8,18,44.9,10,5,横山典弘,56,0.0,1.0,1600,0.0,1.0,0.0,0.0,,1:35.6,0.3,,18-18,34.9-35.6,34.3,442(0),,,ナカヤマバスター,140.0
35,2004/05/09,2東京6,雨,11,NHKマイルC(G1),,18,1,2,97.4,15,17,江田照男,57,0.0,1.0,1600,0.0,0.0,1.0,0.0,,1:35.4,2.9,,6-6,33.9-34.7,37.1,442(-8),,,キングカメハメハ,
36,2004/04/25,2東京2,晴,7,3歳500万下,,15,6,10,6.6,2,1,柴田善臣,56,0.0,1.0,1400,0.0,0.0,1.0,0.0,,1:21.8,-0.1,,3-3,34.9-35.2,34.9,450(0),,,(クラシカルウィーク),700.0
37,2004/04/03,1福島1,曇,10,雪うさぎ賞(500万下),,16,3,6,11.6,4,3,菊沢隆徳,56,0.0,1.0,1200,0.0,0.0,1.0,0.0,,1:09.5,0.3,,8-7,33.5-35.7,35.3,450(-2),,,キョウワハピネス,255.8
38,2004/03/13,2中山5,晴,7,3歳500万下,,15,5,8,60.6,12,6,岡部幸雄,56,0.0,1.0,1800,0.0,0.0,1.0,0.0,,1:50.2,0.4,,2-2-2-2,37.4-35.1,35.4,452(+2),,,サクラエキスプレス,
39,2004/02/22,1東京8,晴,6,3歳500万下,,16,4,7,7.1,4,8,岡部幸雄,56,0.0,1.0,1600,0.0,0.0,1.0,0.0,,1:35.7,0.7,,4-5,34.6-35.0,35.3,450(-6),,,ムーンシャイン,
40,2004/01/25,1中山8,晴,9,若竹賞(500万下),,12,5,6,28.9,6,5,柴田善臣,56,0.0,1.0,1600,0.0,0.0,1.0,0.0,,1:35.4,1.1,,4-10-10,35.7-35.2,35.1,456(+2),,,ダンスインザムード,100.0
41,2003/12/20,6中山5,晴,10,ひいらぎ賞(500万下),,16,5,10,67.1,14,6,梶晃啓,55,0.0,1.0,1600,0.0,0.0,1.0,0.0,,1:36.0,0.9,,2-2-2,34.3-36.8,37.5,454(+10),,,マイネルデュプレ,
42,2003/11/30,4東京8,曇,5,2歳未勝利,,18,1,2,5.6,3,1,柴田善臣,55,0.0,1.0,1600,1.0,0.0,0.0,0.0,,1:40.9,0.0,,6-5,36.3-38.8,38.4,444(-2),,,(サクラセレーネ),500.0
43,2003/11/16,4東京4,晴,3,2歳未勝利,,10,6,6,5.1,2,2,柴田善臣,55,0.0,1.0,1400,0.0,0.0,1.0,0.0,,1:24.0,0.4,,3-3,36.1-35.1,35.3,446(-4),,,フリーダムホーク,200.0
44,2003/10/25,3東京5,曇,2,2歳未勝利,,9,4,4,1.6,1,2,柴田善臣,55,0.0,1.0,1400,0.0,0.0,1.0,0.0,,1:25.3,0.0,,4-5,37.1-35.1,34.7,450(0),,,コスモトラベラー,200.0
45,2003/10/12,3東京2,曇,4,2歳新馬,,10,8,9,3.4,2,2,柴田善臣,55,0.0,1.0,1400,0.0,1.0,0.0,0.0,,1:25.2,1.0,,6-4,36.6-35.0,35.5,450(0),,,アポインテッドデイ,280.0
