,0,1,2,3,4,5,6,7,8,9,10,11,12,13,ダ,芝,障,1,稍,良,不,重,16,17,18,19,20,21,22,23,24,25,26,27
0,2005/01/16,1京都6,晴,4,障害4歳上未勝利,,14,6,10,17.6,7,12,熊沢重文,59,0.0,0.0,1.0,2930,1.0,0.0,0.0,0.0,,3:26.3,7.5,,12-12-12-12,111.0-40.9,14.1,524(+12),,,ヤシャボサツ,
1,2004/12/12,5阪神4,曇,9,摂津特別(1000万下),,16,7,13,160.8,14,15,石橋守,56,0.0,1.0,0.0,1600,0.0,1.0,0.0,0.0,,1:35.9,1.5,,5-8-12,35.0-35.6,36.3,512(+4),,,ラバンディエーラ,
2,2004/11/27,5京都7,晴,10,鞍馬特別(1000万下),,18,7,14,64.1,12,13,石橋守,56,0.0,1.0,0.0,1200,0.0,1.0,0.0,0.0,,1:09.8,0.9,,16-17,34.3-34.6,34.0,508(+4),,,トップパシコ,
3,2004/11/06,3福島5,晴,11,河北新報杯(1000万下),,16,3,6,16.0,9,11,上村洋行,53,0.0,1.0,0.0,1200,0.0,1.0,0.0,0.0,,1:10.6,0.9,,12-16,33.5-36.2,36.1,504(-12),,,ブルーペール,
4,2004/05/23,2中京2,雨,10,昇竜S(OP),,16,1,1,83.0,14,14,太宰啓介,56,1.0,0.0,0.0,1700,0.0,1.0,0.0,0.0,,1:48.2,2.8,,14-14-15-15,28.8-37.3,38.7,516(+2),,,パーソナルラッシュ,
5,2004/05/09,2東京6,雨,11,NHKマイルC(G1),,18,6,11,166.4,17,16,後藤浩輝,57,0.0,1.0,0.0,1600,0.0,1.0,0.0,0.0,,1:35.3,2.8,,4-3,33.9-34.7,37.2,514(+8),,,キングカメハメハ,
6,2004/04/25,3京都2,晴,10,橘S(OP),,14,7,12,53.8,10,10,熊沢重文,56,0.0,1.0,0.0,1200,0.0,1.0,0.0,0.0,,1:09.4,1.4,,10-11,33.9-34.1,34.3,506(0),,,シルヴァーゼット,
7,2004/04/04,2阪神4,曇,10,マーガレットS(OP),,16,6,11,75.1,14,7,高橋亮,56,0.0,1.0,0.0,1400,1.0,0.0,0.0,0.0,,1:22.5,0.5,,8-9,34.2-36.5,36.0,506(+2),,,シゲルドントイケ,
8,2004/03/14,1中京4,晴,10,はなのき賞(500万下),,16,4,7,14.4,8,1,高橋亮,56,0.0,1.0,0.0,1200,0.0,1.0,0.0,0.0,,1:09.8,-0.2,,3-3,34.2-35.6,35.4,504(+4),,,(ヤマニンパンテール),"1,042.7"
9,2004/02/28,1阪神1,晴,7,3歳500万下,,16,6,12,17.2,7,8,四位洋文,56,0.0,1.0,0.0,1200,0.0,1.0,0.0,0.0,,1:10.4,0.6,,7-9,34.5-35.3,35.3,500(-6),,,ルタンティール,
10,2003/12/06,3中京1,小雨,9,つわぶき賞(500万下),,17,4,7,22.3,8,7,古川吉洋,55,0.0,1.0,0.0,1200,0.0,1.0,0.0,0.0,,1:10.6,0.5,,9-9,33.9-36.2,35.9,506(-4),,,シゲルドントイケ,
11,2003/11/23,5京都6,曇,9,もみじS(OP),,10,8,9,15.1,4,7,池添謙一,55,0.0,1.0,0.0,1200,0.0,1.0,0.0,0.0,,1:10.8,1.4,,4-4,33.9-35.5,36.4,510(+2),,,ナムラビッグタイム,
12,2003/11/01,4京都7,晴,4,2歳新馬,,10,3,3,2.5,1,1,池添謙一,55,0.0,1.0,0.0,1200,0.0,1.0,0.0,0.0,,1:09.9,0.0,,1-1,35.3-34.6,34.6,508(0),,,(トーホウファイター),700.0
