,0,1,2,3,4,5,6,7,8,9,10,11,12,13,ダ,芝,1,稍,良,重,不,16,17,18,19,20,21,22,23,24,25,26,27
0,2008/08/25,金沢,曇,10,イヌワシ賞,,12,4,4,57.6,9,12,花本正三,56,1.0,0.0,1900,0.0,0.0,1.0,0.0,,2:08.8,3.8,,4-6-7-10,,,512(-6),,,トミノダンディ,
1,2008/08/14,笠松,晴,9,立秋特別,,10,6,6,5.0,2,2,花本正三,56,1.0,0.0,1600,0.0,1.0,0.0,0.0,,1:42.2,0.2,,2-2-2,,,518(-1),,,ニッシングリン,8.8
2,2008/07/23,笠松,晴,8,あじめ峡特別,,8,7,7,8.4,5,2,花本正三,56,1.0,0.0,1400,0.0,1.0,0.0,0.0,,1:28.5,0.5,,2-1-2,,,519(-10),,,ケイアイキャニオン,8.8
3,2008/07/09,笠松,曇,7,サラ系A4組選抜,,10,1,1,12.3,4,5,花本正三,56,1.0,0.0,1600,0.0,0.0,1.0,0.0,,1:43.1,1.7,,1-1-1,,,529(+29),,,ケイアイキャニオン,
4,2008/03/12,笠松,晴,10,サラ系A4組選抜,,10,3,3,3.3,2,1,尾島徹,56,1.0,0.0,1600,0.0,1.0,0.0,0.0,,1:43.2,-0.3,,2-2-2,,,500(-8),,,(ニシノゴードン),21.0
5,2008/02/26,笠松,曇,10,白梅賞,,9,6,6,7.8,3,3,尾島徹,56,1.0,0.0,1600,0.0,0.0,1.0,0.0,,1:44.1,0.7,,4-4-3,,,508(+3),,,トミノダンディ,2.8
6,2008/02/13,笠松,晴,9,ウインター争覇(OP),,10,7,8,121.2,9,4,高木健,56,1.0,0.0,1900,0.0,0.0,1.0,0.0,,2:05.5,3.0,,2-2-3-3,,,505(+1),,,ウイニングウインド,10.2
7,2008/01/22,笠松,曇,9,東海クラウン(OP),,9,2,2,13.9,5,6,尾島徹,56,1.0,0.0,1800,0.0,1.0,0.0,0.0,,2:00.2,1.6,,2-2-4-6,,,504(-1),,,エイシンセイテン,
8,2008/01/09,笠松,晴,9,新春特別,,7,4,4,19.4,3,2,浜口楠彦,56,1.0,0.0,1600,0.0,1.0,0.0,0.0,,1:46.7,0.0,,3-3-2,,,505(+5),,,エーシンエムシー,8.3
9,2007/12/31,名古屋,晴,10,尾張名古屋杯,,11,5,5,142.7,10,6,兒島真二,57,1.0,0.0,1600,1.0,0.0,0.0,0.0,,1:45.9,1.5,,4-3-3,,40.3,500(-6),,,エプソムキララ,
10,2007/12/13,大井,曇,11,ディセンバー賞競走,,13,6,9,60.4,9,中,坂井英光,54,1.0,0.0,1200,0.0,0.0,1.0,0.0,**,,,**,,34.8-37.3,,506(0),,,フリートアピール,
11,2007/11/27,大井,曇,11,トパーズ賞競走,,16,7,14,54.2,10,15,張田京,56,1.0,0.0,1200,0.0,1.0,0.0,0.0,**,1:14.7,2.1,**,3-3,35.0-37.6,39.3,506(-12),,,シンゼンタイヨウ,
12,2007/04/27,笠松,晴,9,ふじの花特別,,10,5,5,18.7,7,7,高木健,58,1.0,0.0,1800,0.0,1.0,0.0,0.0,,2:00.2,3.2,,7-6-4-4,,,518(+6),,,セイウンドリーム,
13,2005/11/27,5京都8,晴,7,3歳上500万下,,18,5,10,5.9,3,4,渡辺薫彦,57,0.0,1.0,1600,0.0,1.0,0.0,0.0,,1:35.9,0.5,,11-12,36.3-34.6,34.4,512(0),,,ルタンティール,110.0
14,2005/10/23,4京都6,曇,7,3歳上500万下,,12,8,12,2.9,2,4,渡辺薫彦,57,1.0,0.0,1400,1.0,0.0,0.0,0.0,,1:25.6,0.5,,3-3,35.7-37.2,37.4,512(+6),,,ゼンノパルテノン,110.0
15,2005/05/22,2中京2,小雨,9,桶狭間特別(1000万下),,17,3,5,4.4,3,5,渡辺薫彦,57,0.0,1.0,1200,0.0,1.0,0.0,0.0,,1:08.6,0.6,,9-8,33.8-34.2,34.1,506(+6),,,スリーロケット,145.0
16,2005/05/01,3京都4,小雨,9,祇園特別(1000万下),,14,3,4,4.5,2,4,渡辺薫彦,57,0.0,1.0,1400,0.0,1.0,0.0,0.0,,1:20.8,0.1,,9-9,34.7-34.7,33.6,500(-4),,,アマノサクシード,220.0
17,2005/03/26,2阪神1,曇,10,山陽特別(1000万下),,15,8,14,12.8,8,7,渡辺薫彦,57,0.0,1.0,1600,0.0,1.0,0.0,0.0,,1:35.1,0.4,,7-3-3,35.5-35.2,35.4,504(0),,,ゲイリースティング,
18,2005/03/13,1阪神6,晴,9,須磨特別(1000万下),,16,5,10,4.8,3,8,渡辺薫彦,57,0.0,1.0,1400,0.0,1.0,0.0,0.0,,1:21.9,0.6,,13-13,34.7-35.3,34.9,504(-2),,,フィレンツェ,
19,2005/02/19,2京都7,雨,10,宇治川特別(1000万下),,16,8,15,36.6,8,3,渡辺薫彦,57,0.0,1.0,1400,0.0,0.0,1.0,0.0,,1:22.8,0.2,,6-6,35.4-35.6,35.1,506(+14),,,スターイレブン,365.7
