,0,1,2,3,4,5,6,7,8,9,10,11,12,13,ダ,芝,障,1,不,稍,良,重,16,17,18,19,20,21,22,23,24,25,26,27
0,2009/05/10,3京都6,晴,3,障害4歳上未勝利,,14,7,12,7.6,2,7,宗像徹,60,0.0,0.0,1.0,2910,0.0,0.0,1.0,0.0,,3:16.8,3.4,,2-2-5-5,105.0-37.9,13.5,512(-2),,,エキゾーストノート,
1,2009/04/11,3中山5,晴,4,障害4歳上未勝利,,14,8,13,6.7,4,4,宗像徹,60,0.0,0.0,1.0,2880,0.0,0.0,1.0,0.0,,3:13.2,0.6,,2-2-2-2,107.0-39.6,13.4,514(-2),,,アラメダキング,120.0
2,2009/02/15,1東京6,晴,4,障害4歳上未勝利,,14,2,2,11.0,5,6,宗像徹,60,0.0,0.0,1.0,3000,0.0,0.0,1.0,0.0,,3:23.6,2.9,,2-2-2-3,106.0-39.0,13.6,516(0),,,トーセンエックス,
3,2009/01/24,1中山7,小雨,4,障害4歳上未勝利,,14,5,8,57.2,10,2,宗像徹,60,0.0,0.0,1.0,2880,0.0,0.0,0.0,1.0,,3:20.3,2.4,,3-3-2-2,112.0-40.4,13.9,516(+6),,,グランツーリズモ,310.0
4,2008/11/23,5東京6,晴,4,障害3歳上未勝利,,14,2,2,50.6,8,11,宗像徹,60,0.0,0.0,1.0,3000,0.0,0.0,1.0,0.0,,3:25.3,4.4,,8-9-11-11,105.0-39.6,13.7,510(+4),,,マイネルジュネス,
5,2008/07/27,2小倉4,晴,10,北九州短距離S(1600万下),,18,6,11,125.1,16,18,浜中俊,57,0.0,1.0,0.0,1200,0.0,0.0,1.0,0.0,**,1:08.8,1.4,**,5-8,32.6-34.8,35.8,506(0),,,クールシャローン,
6,2008/06/08,2中京6,晴,11,飛騨S(1600万下),,18,1,2,159.4,18,12,長谷川浩,54,0.0,1.0,0.0,1200,0.0,0.0,1.0,0.0,**,1:08.8,0.7,**,4-4,33.7-34.4,34.8,506(-6),,,ベイリングボーイ,
7,2007/07/22,2小倉4,曇,10,北九州短距離S(1600万下),,17,6,11,90.5,14,14,高橋智大,55,0.0,1.0,0.0,1200,0.0,1.0,0.0,0.0,**,1:09.0,1.3,**,12-12,33.0-34.7,34.7,512(+2),,,メイショウトッパー,
8,2007/06/30,2福島5,晴,11,テレビユー福島賞(1600万下),,16,6,12,31.1,8,8,田中勝春,57,0.0,1.0,0.0,1200,0.0,0.0,1.0,0.0,**,1:09.6,0.9,**,8-7,33.5-35.2,35.2,510(-4),,,アポロノサトリ,
9,2007/05/05,2東京5,晴,10,晩春S(1600万下),,16,8,16,43.1,8,8,北村宏司,57,0.0,1.0,0.0,1600,0.0,0.0,1.0,0.0,**,1:34.4,0.8,**,6-5,35.0-34.2,34.5,514(+2),,,ピサノパテック,
10,2007/04/15,3中山8,晴,10,卯月S(1600万下),,16,7,13,120.6,15,5,北村宏司,55,0.0,1.0,0.0,1600,0.0,0.0,1.0,0.0,**,1:33.9,0.4,**,3-3-3,34.8-35.4,35.3,512(0),,,マシュリク,183.0
11,2007/04/01,3中山4,晴,10,春風S(1600万下),,16,8,16,172.2,13,16,柴山雄一,57,1.0,0.0,0.0,1200,0.0,0.0,1.0,0.0,**,1:13.6,2.9,**,7-8,33.9-36.8,39.1,512(+6),,,トーセンブレイク,
12,2006/08/13,3小倉2,晴,10,TV西日本北九州記念(G3),,14,3,3,90.6,13,10,田中学,53,0.0,1.0,0.0,1200,0.0,0.0,1.0,0.0,**,1:08.8,0.8,**,4-4,32.9-35.1,35.3,506(0),,,コスモフォーチュン,
13,2006/07/30,2函館6,晴,9,UHB杯(OP),,14,4,6,34.3,11,6,北村宏司,53,0.0,1.0,0.0,1200,0.0,0.0,1.0,0.0,**,1:10.9,0.2,**,6-7,34.1-36.6,36.1,506(-2),,,ツルガオカハヤテ,
