,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,芝,ダ,1,不,稍,良,重,17,18,19,20,21,22,23,24,25,26,27,28
0,2009/11/15,5東京4,晴,11,オーロC(OP),200905050411,,18,6,12,121.7,16,中,伊藤工真,52,1.0,0.0,1400,0.0,0.0,1.0,0.0,**,,,**,18-18,34.4-35.0,,496(-4),,,アイアムカミノマゴ,
1,2009/11/01,4京都8,雨,11,カシオペアS(OP),200908040811,,11,7,9,105.0,10,9,松山弘平,56,1.0,0.0,1800,0.0,1.0,0.0,0.0,**,1:51.5,1.4,**,9-10,37.2-34.9,34.9,500(+2),,,レッツゴーキリシマ,
2,2009/10/04,4阪神8,晴,10,ポートアイランドS(OP),200909040810,,18,7,14,256.7,17,15,松山弘平,56,1.0,0.0,1600,0.0,0.0,1.0,0.0,**,1:34.6,1.2,**,17-18,35.5-34.7,33.8,498(+6),,,クラウンプリンセス,
3,2009/08/02,2札幌2,曇,9,UHB杯(OP),200901020209,,16,7,14,133.7,15,11,中舘英二,53,1.0,0.0,1200,0.0,0.0,1.0,0.0,**,1:09.4,0.7,**,16-16,33.9-34.8,33.9,492(-4),,,ピサノパテック,
4,2009/07/12,1札幌8,晴,9,巴賞(OP),200901010809,,14,2,2,51.5,9,7,三浦皇成,56,1.0,0.0,1800,0.0,0.0,1.0,0.0,**,1:48.2,0.7,**,6-7-8-8,35.8-34.5,34.6,496(-18),,,マンハッタンスカイ,
5,2009/05/10,3京都6,晴,10,都大路S(OP),200908030610,,18,8,17,51.6,12,12,角田晃一,53,1.0,0.0,1600,0.0,0.0,1.0,0.0,**,1:33.9,0.9,**,18-18,35.0-34.8,33.7,514(+6),,,ライブコンサート,
6,2009/04/12,1福島2,曇,10,福島民報杯(OP),200903010210,,14,8,14,21.9,8,11,津村明秀,56,1.0,0.0,2000,0.0,0.0,1.0,0.0,**,1:59.4,1.6,**,14-14-14-13,33.8-35.1,34.6,508(+2),,,ホッコーパドゥシャ,
7,2009/03/14,2中山5,曇,11,東風S(OP),200906020511,,16,1,1,24.6,9,5,木幡初広,56,1.0,0.0,1600,1.0,0.0,0.0,0.0,**,1:37.8,1.3,**,12-14-14,34.9-37.1,37.4,506(0),,,ショウワモダン,230.0
8,2009/01/10,1中山3,晴,11,ニューイヤーS(OP),200906010311,,14,8,14,41.2,12,6,木幡初広,56,1.0,0.0,1600,0.0,0.0,1.0,0.0,**,1:35.1,0.2,**,9-10-11,35.4-35.9,35.6,506(+2),,,マヤノツルギ,
9,2008/12/20,5中山5,晴,11,ディセンバーS(OP),200806050511,,11,8,11,22.8,10,10,三浦皇成,55,1.0,0.0,1800,0.0,0.0,1.0,0.0,**,1:48.4,0.9,**,10-10-10-10,35.9-36.0,34.8,504(+2),,,トウショウシロッコ,
10,2008/11/29,5東京7,晴,11,キャピタルS(OP),200805050711,,18,1,2,92.0,15,3,木幡初広,57,1.0,0.0,1600,0.0,0.0,1.0,0.0,**,1:33.7,0.7,**,14-13,33.8-35.1,34.2,502(0),,,タマモサポート,606.0
11,2008/11/15,5京都3,晴,11,アンドロメダS(OP),200808050311,,13,7,11,60.4,13,9,角田晃一,53,1.0,0.0,2000,0.0,0.0,1.0,0.0,**,2:00.1,0.7,**,9-10-10-10,36.7-34.2,34.2,502(+2),,,ヤマニンキングリー,
12,2008/11/02,4京都8,晴,11,カシオペアS(OP),200808040811,,11,8,11,27.3,10,8,角田晃一,55,1.0,0.0,1800,0.0,0.0,1.0,0.0,**,1:47.7,0.3,**,11-11,36.1-35.0,33.6,500(+6),,,バトルバニヤン,
