,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,芝,ダ,1,不,良,重,稍,17,18,19,20,21,22,23,24,25,26,27,28
0,2007/10/07,4東京2,晴,11,毎日王冠(G2),200705040211,,14,8,13,244.2,14,14,石橋脩,57,1.0,0.0,1800,0.0,1.0,0.0,0.0,**,1:47.9,3.7,**,2-4-4,34.4-34.8,38.0,450(0),,,チョウサン,
1,2006/02/26,1阪神2,曇,11,阪急杯(G3),200609010211,,15,3,5,8.5,4,12,和田竜二,57,1.0,0.0,1400,1.0,0.0,0.0,0.0,**,1:23.9,1.4,**,3-2,34.6-36.2,37.3,450(-4),,,ブルーショットガン,
2,2006/02/04,1小倉5,晴,11,小倉大賞典(G3),200610010511,,16,8,15,9.4,5,8,和田竜二,56,1.0,0.0,1800,0.0,1.0,0.0,0.0,**,1:48.1,0.9,**,2-2-2-2,36.0-35.2,35.7,454(-4),,,メジロマイヤー,
3,2006/01/05,1京都1,晴,11,スポニチ賞京都金杯(G3),200608010111,,16,3,5,12.4,6,1,和田竜二,54,1.0,0.0,1600,0.0,1.0,0.0,0.0,**,1:34.0,0.0,**,1-1,35.1-34.9,34.9,458(-4),,,(ニューベリー),"4,365.8"
4,2005/12/24,3中京7,晴,11,CBC賞(G2),200507030711,,14,8,15,8.7,4,9,中舘英二,56,1.0,0.0,1200,0.0,1.0,0.0,0.0,**,1:09.2,0.5,**,7-7,33.5-35.2,35.2,462(+8),,,シンボリグラン,
5,2005/11/20,5京都6,晴,11,マイルチャンピオンS(G1),200508050611,,17,3,6,163.0,17,7,和田竜二,56,1.0,0.0,1600,0.0,1.0,0.0,0.0,,1:32.5,0.4,,6-6,34.2-35.0,34.8,454(-6),,,ハットトリック,
6,2005/10/29,4京都7,曇,11,毎日放送賞スワンS(G2),200508040711,,18,5,10,12.1,7,5,池添謙一,55,1.0,0.0,1400,0.0,0.0,1.0,0.0,,1:21.7,0.2,,2-2,34.3-35.9,35.9,460(0),,,コスモサンビーム,600.0
7,2005/10/01,4阪神7,晴,11,ポートアイランドS(OP),200509040711,,13,8,13,3.5,2,9,武豊,53,1.0,0.0,1600,0.0,1.0,0.0,0.0,,1:35.2,1.3,,2-1-1,34.2-35.5,36.8,460(0),,,タニノマティーニ,
8,2005/09/10,4阪神1,曇,11,朝日チャレンジC(G3),200509040111,,14,2,2,5.2,3,11,武豊,53,1.0,0.0,2000,0.0,1.0,0.0,0.0,,2:00.6,1.2,,1-1-1-1,35.7-35.9,37.1,460(+2),,,ワンモアチャッター,
9,2005/05/08,2東京6,曇,11,NHKマイルC(G1),200505020611,,18,7,14,9.7,5,7,蛯名正義,57,1.0,0.0,1600,0.0,1.0,0.0,0.0,,1:34.8,1.2,,2-2,35.5-34.2,35.0,458(-6),,,ラインクラフト,
10,2005/04/17,3中山8,晴,11,皐月賞(G1),200506030811,,18,3,6,22.0,6,13,柴田善臣,57,1.0,0.0,2000,0.0,1.0,0.0,0.0,,2:00.6,1.4,,1-1-1-1,35.0-34.5,35.9,464(+4),,,ディープインパクト,
11,2005/02/26,1阪神1,曇,11,アーリントンC(G3),200509010111,,12,7,10,2.1,1,1,武豊,56,1.0,0.0,1600,0.0,1.0,0.0,0.0,,1:34.3,-0.3,,1-1-1,35.0-35.9,35.9,460(+4),,,(セイウンニムカウ),"4,044.8"
12,2005/02/13,2京都6,曇,6,3歳新馬,200508020606,,15,6,10,1.4,1,1,武豊,56,1.0,0.0,1400,0.0,1.0,0.0,0.0,,1:23.1,-1.2,,1-1,36.3-34.8,34.8,456(0),,,(メイショウアモーレ),700.0
