,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,ダ,芝,1,不,稍,良,重,17,18,19,20,21,22,23,24,25,26,27,28
0,2009/04/04,2阪神3,雨,10,コーラルS(OP),200909020310,,16,5,9,139.6,15,16,和田竜二,58,1.0,0.0,1400,0.0,0.0,1.0,0.0,**,1:25.7,2.5,**,7-6,34.9-36.2,38.0,470(+8),,,セントラルコースト,
1,2009/03/07,2中山3,晴,11,夕刊フジオーシャンS(G3),200906020311,,16,8,15,147.4,15,16,中舘英二,56,0.0,1.0,1200,0.0,1.0,0.0,0.0,**,1:11.0,1.8,**,2-6,33.4-35.8,37.5,462(-4),,,アーバニティ,
2,2009/02/08,2京都4,晴,11,シルクロードS(G3),200908020411,,16,1,2,38.6,14,12,藤岡佑介,53,0.0,1.0,1200,0.0,0.0,1.0,0.0,**,1:09.4,0.9,**,4-4,33.6-34.9,35.3,466(+10),,,アーバンストリート,
3,2008/12/14,5中山4,曇,11,カペラS(G3),200806050411,,15,2,3,129.7,13,8,柴山雄一,56,1.0,0.0,1200,0.0,0.0,0.0,1.0,**,1:09.4,0.7,**,5-3,32.7-36.0,36.3,456(-4),,,ビクトリーテツニー,
4,2008/11/29,5京都7,曇,11,京阪杯(G3),200808050711,,18,2,3,102.0,16,13,Ｍデムー,56,0.0,1.0,1200,0.0,0.0,1.0,0.0,**,1:09.3,1.2,**,8-8,34.2-33.9,34.2,460(+4),,,ウエスタンダンサー,
5,2008/10/26,3福島2,曇,11,福島民友C(OP),200803030211,,16,7,14,44.9,12,11,藤岡康太,57,0.0,1.0,1200,0.0,0.0,1.0,0.0,**,1:08.6,0.7,**,11-12,33.1-34.8,34.4,456(-12),,,アイルラヴァゲイン,
6,2008/09/14,4阪神1,晴,10,セントウルS(G2),200809040110,,16,4,7,121.6,15,12,藤岡佑介,57,0.0,1.0,1200,0.0,0.0,1.0,0.0,**,1:08.3,1.0,**,10-12,33.5-33.8,33.5,468(-8),,,カノヤザクラ,
7,2008/08/31,1札幌6,晴,9,キーンランドC(G3),200801010609,,16,4,8,139.7,15,9,和田竜二,56,0.0,1.0,1200,0.0,0.0,1.0,0.0,**,1:08.9,1.0,**,13-14,33.9-34.0,34.2,476(0),,,タニノマティーニ,
8,2008/07/06,1函館6,晴,11,函館スプリントS(G3),200802010611,,16,3,5,67.3,15,11,藤岡佑介,56,0.0,1.0,1200,0.0,0.0,1.0,0.0,**,1:09.3,0.9,**,8-6,32.8-35.6,35.8,476(+12),,,キンシャサノキセキ,
9,2008/04/13,3中山6,曇,11,春雷S(OP),200806030611,,16,7,13,19.8,8,4,柴田善臣,57,0.0,1.0,1200,0.0,0.0,0.0,1.0,**,1:10.4,0.4,**,4-4,33.7-36.3,36.1,464(+4),,,ウエスタンビーナス,360.0
