,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,ダ,芝,障,1,不,稍,良,重,17,18,19,20,21,22,23,24,25,26,27,28
0,2009/10/06,川崎,雨,9,よみうりランド賞,200945100609,,14,8,14,135.3,11,14,郷間勇太,56,1.0,0.0,0.0,1600,1.0,0.0,0.0,0.0,**,1:45.7,5.8,**,7-9-13-13,36.8-37.6,42.8,486(+2),,,ヤマイチカチドキ,
1,2009/09/04,川崎,雨,9,長月特別,200945090409,,11,4,4,67.8,9,10,郷間勇太,54,1.0,0.0,0.0,1600,0.0,1.0,0.0,0.0,**,1:43.9,2.5,**,10-10-11-11,36.6-39.4,40.3,484(+8),,,メインバンク,
2,2009/07/30,船橋,曇,11,トワイライトスプリン,200943073011,,7,3,3,25.5,6,5,川島正太,56,1.0,0.0,0.0,1000,0.0,0.0,1.0,0.0,**,1:01.3,1.0,**,6-6,35.2-37.2,36.8,476(-19),,,ケイアイスパイダー,28.0
3,2008/12/09,船橋,雨,10,アクアライン特別,200843120910,,14,4,5,27.5,7,8,川島正太,56,1.0,0.0,0.0,1600,0.0,1.0,0.0,0.0,**,1:41.4,1.1,**,10-11-8-8,37.2-37.8,38.1,495(+9),,,メイホウホップ,
4,2008/08/02,2小倉5,晴,9,高千穂特別(1000万下),200810020509,,10,8,10,76.3,9,9,熊沢重文,55,0.0,1.0,0.0,2000,0.0,0.0,1.0,0.0,**,2:00.6,0.7,**,9-9-7-9,36.1-34.6,34.5,486(-4),,,ホワイトピルグリム,
5,2008/07/19,2小倉1,雨,10,九州スポーツ杯(1000万下),200810020110,,8,3,3,24.4,6,7,熊沢重文,57,0.0,1.0,0.0,1800,0.0,1.0,0.0,0.0,**,1:49.0,0.7,**,2-2-5-6,36.5-35.9,36.0,490(+4),,,カネトシリベルテ,
6,2008/07/06,3阪神6,晴,3,障害3歳上未勝利,200809030603,,14,3,4,21.4,5,11,白浜雄造,60,0.0,0.0,1.0,2970,0.0,0.0,1.0,0.0,,3:37.7,21.3,,11-11-11-11,106.0-39.3,14.7,486(-6),,,メイショウラダック,
7,2008/05/18,3京都8,晴,4,障害4歳上未勝利,200808030804,,14,7,12,11.5,6,8,横山義行,60,0.0,0.0,1.0,2910,0.0,0.0,1.0,0.0,,3:16.6,2.3,,11-11-9-8,104.0-38.8,13.5,492(+8),,,ランドベスト,
8,2008/03/08,1中京3,晴,11,中京スポーツ杯(1000万下),200807010311,,14,7,12,48.4,11,10,太宰啓介,57,0.0,1.0,0.0,1800,0.0,0.0,1.0,0.0,**,1:47.2,0.9,**,2-2-2-2,35.2-35.8,36.6,484(+2),,,サケダイスキ,
9,2008/02/23,2京都7,曇,10,木津川特別(1000万下),200808020710,,16,6,12,39.7,11,13,池添謙一,57,0.0,1.0,0.0,1600,0.0,0.0,1.0,0.0,**,1:36.1,1.1,**,12-16,36.4-35.2,34.6,482(-2),,,パッションレッド,
10,2008/02/11,2京都3,晴,9,春日特別(1000万下),200808020309,,11,7,9,24.0,8,5,池添謙一,57,0.0,1.0,0.0,1800,0.0,0.0,1.0,0.0,**,1:50.8,0.4,**,8-8,37.3-34.9,34.6,484(+2),,,ケイアイケイマン,148.0
