,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,ダ,芝,1,稍,良,重,不,17,18,19,20,21,22,23,24,25,26,27,28
0,2008/03/30,1中京10,小雨,11.0,高松宮記念(G1),200807011011,,18,5.0,9,45.6,12.0,7,川田将雅,57,0.0,1.0,1200,0.0,1.0,0.0,0.0,**,1:07.5,0.4,**,2-2,33.4-33.7,34.1,496(-2),,,ファイングレイン,
1,2008/03/02,1阪神2,晴,11.0,阪急杯(G3),200809010211,,16,7.0,13,17.1,5.0,8,川田将雅,57,0.0,1.0,1400,0.0,1.0,0.0,0.0,**,1:21.5,0.8,**,3-2,34.7-34.6,35.3,498(0),,,ローレルゲレイロ,
2,2007/12/16,5阪神6,晴,11.0,阪神C(G2),200709050611,,18,6.0,12,15.2,6.0,12,鮫島良太,57,0.0,1.0,1400,0.0,1.0,0.0,0.0,**,1:21.1,0.5,**,5-4,34.4-34.6,34.8,498(+2),,,スズカフェニックス,
3,2007/11/18,5京都6,曇,11.0,マイルチャンピオンS(G1),200708050611,,18,3.0,6,17.9,6.0,12,ペリエ,57,0.0,1.0,1600,0.0,1.0,0.0,0.0,**,1:33.6,0.9,**,2-1,34.4-34.7,35.6,496(+4),,,ダイワメジャー,
4,2007/10/27,4京都8,晴,11.0,毎日放送賞スワンS(G2),200708040811,,18,7.0,14,30.3,10.0,2,福永祐一,58,0.0,1.0,1400,1.0,0.0,0.0,0.0,**,1:20.7,0.0,**,5-4,33.7-35.5,34.8,492(-4),,,スーパーホーネット,"2,438.0"
5,2007/09/09,4阪神2,晴,11.0,セントウルS(G2),200709040211,,16,8.0,15,11.9,6.0,12,鮫島良太,58,0.0,1.0,1200,0.0,1.0,0.0,0.0,**,1:08.7,1.6,**,13-11,33.4-33.7,34.4,496(+8),,,サンアディユ,
6,2007/06/10,2中京8,晴,11.0,CBC賞(G3),200707020811,,18,2.0,4,7.9,4.0,12,鮫島良太,58,0.0,1.0,1200,0.0,0.0,1.0,0.0,**,1:09.6,0.5,**,1-2,33.9-35.2,35.7,488(-2),,,ブラックバースピン,
7,2007/05/12,2東京7,晴,11.0,京王杯スプリングC(G2),200705020711,,18,6.0,12,8.3,6.0,5,鮫島良太,58,0.0,1.0,1400,0.0,1.0,0.0,0.0,**,1:20.8,0.8,**,4-4,34.1-34.7,35.1,490(0),,,エイシンドーバー,600.0
8,2007/03/31,アラブ首,晴,,ゴドルフィンマイル(G2),2007C7a00202,,16,,4,,,6,スミヨン,57,1.0,0.0,1600,0.0,1.0,0.0,0.0,,1.37.8,,,,,,計不,,,,
9,2007/01/06,1京都1,晴,11.0,スポニチ賞京都金杯(G3),200708010111,,16,8.0,15,6.4,3.0,13,鮫島良太,57,0.0,1.0,1600,1.0,0.0,0.0,0.0,**,1:34.9,1.0,**,3-3,35.2-34.9,35.8,496(+4),,,マイネルスケルツィ,
10,2006/12/17,3阪神6,小雨,11.0,阪神C(G2),200609030611,,17,5.0,10,10.1,8.0,1,福永祐一,56,0.0,1.0,1400,0.0,1.0,0.0,0.0,**,1:20.6,-0.1,**,4-5,33.8-35.5,35.2,492(+2),,,(プリサイスマシーン),"7,133.0"
11,2006/11/25,5東京7,晴,11.0,ジャパンカップダート(G1),200605050711,,15,2.0,3,10.4,4.0,13,内田博幸,55,1.0,0.0,2100,0.0,1.0,0.0,0.0,**,2:10.2,1.7,**,2-2-2-2,30.2-36.5,38.1,490(-2),,,アロンダイト,
12,2006/10/28,4東京7,晴,11.0,東京中日S杯武蔵野S(G3),200605040711,,16,4.0,7,1.9,1.0,5,岩田康誠,54,1.0,0.0,1600,0.0,1.0,0.0,0.0,**,1:35.7,0.4,**,3-3,35.2-36.3,36.4,492(-4),,,シーキングザベスト,390.0
13,2006/09/24,3中京6,晴,11.0,神戸新聞杯(G2),200607030611,,16,3.0,5,9.7,4.0,4,福永祐一,56,0.0,1.0,2000,0.0,1.0,0.0,0.0,**,1:58.3,0.2,**,5-7-6-4,34.3-35.4,35.0,496(+10),,,ドリームパスポート,810.0
14,2006/05/28,3東京4,晴,10.0,東京優駿(G1),200605030410,,18,4.0,7,34.7,10.0,8,ボス,57,0.0,1.0,2400,1.0,0.0,0.0,0.0,**,2:29.0,1.1,**,2-3-3-3,37.4-35.3,36.2,486(-4),,,メイショウサムソン,
15,2006/05/07,2東京6,雨,11.0,NHKマイルC(G1),200605020611,,18,8.0,18,2.6,1.0,6,福永祐一,57,0.0,1.0,1600,0.0,1.0,0.0,0.0,**,1:34.0,0.8,**,5-4,34.2-35.7,36.3,490(+4),,,ロジック,
16,2006/04/16,3中山8,曇,11.0,皐月賞(G1),200606030811,,18,1.0,1,7.2,3.0,5,福永祐一,57,0.0,1.0,2000,0.0,1.0,0.0,0.0,**,2:00.5,0.6,**,2-2-2-1,35.6-35.7,36.2,486(-4),,,メイショウサムソン,970.0
17,2006/03/19,2中山8,曇,11.0,フジTVスプリングS(G2),200606020811,,16,2.0,3,1.6,1.0,2,福永祐一,56,0.0,1.0,1800,0.0,1.0,0.0,0.0,**,1:48.9,0.0,**,3-3-4-4,36.9-36.4,36.0,490(-2),,,メイショウサムソン,"2,236.4"
18,2006/02/05,1東京4,晴,11.0,共同通信杯(G3),200605010411,,11,6.0,6,2.0,1.0,2,福永祐一,57,0.0,1.0,1800,0.0,1.0,0.0,0.0,**,1:48.5,0.1,**,2-2-2,36.0-34.8,34.7,492(+12),,,アドマイヤムーン,"1,711.6"
19,2005/12/11,5中山4,曇,11.0,朝日フューチュリティ(G1),200506050411,,14,6.0,12,3.2,2.0,1,福永祐一,55,0.0,1.0,1600,0.0,1.0,0.0,0.0,,1:33.7,0.0,,2-2-2,35.9-34.7,34.4,480(0),,,(スーパーホーネット),"6,117.6"
20,2005/11/19,5東京5,晴,11.0,東京スポーツ杯2歳S(G3),200505050511,,11,2.0,2,2.7,1.0,1,福永祐一,55,0.0,1.0,1800,0.0,1.0,0.0,0.0,,1:46.9,-0.4,,1-1-1,35.7-34.0,34.0,480(-2),,,(メイショウサムソン),"3,241.3"
21,2005/10/29,4京都7,曇,9.0,萩S(OP),200508040709,,8,3.0,3,6.3,5.0,1,福永祐一,55,0.0,1.0,1800,0.0,0.0,1.0,0.0,,1:49.1,-0.5,,1-1,36.6-34.4,34.4,482(-6),,,(ドリームパスポート),"1,620.3"
22,2005/09/25,4阪神6,曇,2.0,2歳未勝利,200509040602,,10,2.0,2,3.2,2.0,1,武豊,54,0.0,1.0,2000,0.0,1.0,0.0,0.0,,2:06.6,-0.1,,1-1-1-1,39.5-34.7,34.7,488(+2),,,(ドリームパスポート),500.0
23,2005/09/11,4阪神2,曇,5.0,2歳新馬,200509040205,,9,6.0,6,5.4,2.0,4,武豊,54,0.0,1.0,2000,0.0,1.0,0.0,0.0,,2:04.8,0.7,,6-5-5-4,37.2-34.9,35.3,486(0),,,マルカシェンク,110.0
