,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,ダ,芝,障,1,稍,良,重,不,17,18,19,20,21,22,23,24,25,26,27,28
0,2012/11/10,5京都3,晴,8,京都ジャンプS(J.G3),201208050308,,8,8,8,5.1,2,6,高田潤,62,0.0,0.0,1.0,3170,0.0,1.0,0.0,0.0,,3:36.4,4.5,,4-4-5-5,108.0-39.6,13.7,490(+12),,,マサノブルース,
1,2012/07/28,2小倉1,晴,8,小倉サマージャンプ(J.G3),201210020108,,14,4,5,5.5,3,1,高田潤,62,0.0,0.0,1.0,3390,0.0,1.0,0.0,0.0,,3:40.9,-0.5,,3-3-3-2,106.0-40.2,13.0,478(-8),,,(テイエムハリアー),"2,849.0"
2,2012/05/12,3京都7,晴,8,京都ハイジャンプ(J.G2),201208030708,,12,8,12,11.3,4,1,横山義行,60,0.0,0.0,1.0,3930,0.0,1.0,0.0,0.0,,4:21.6,-0.1,,4-3-2-2,105.0-38.1,13.3,486(+6),,,(テイエムハリアー),"4,042.0"
3,2012/03/24,3中山1,小雨,8,ペガサスジャンプS(OP),201206030108,,12,6,7,7.8,4,3,高田潤,60,0.0,0.0,1.0,3350,0.0,0.0,1.0,0.0,,3:52.8,1.3,,2-2-2-2,108.0-39.5,13.9,480(-4),,,マジェスティバイオ,384.0
4,2011/12/10,6阪神3,晴,8,三木ホースランドJS(OP),201109060308,,8,5,5,3.3,2,1,熊沢重文,60,0.0,0.0,1.0,3900,0.0,1.0,0.0,0.0,,4:26.4,-0.4,,2-2-2-2,108.0-39.8,13.7,484(+4),,,(マンノレーシング),"1,717.5"
5,2011/11/12,6京都3,晴,8,京都ジャンプS(J.G3),201108060308,,11,7,8,10.6,6,3,熊沢重文,60,0.0,0.0,1.0,3170,0.0,1.0,0.0,0.0,,3:31.0,0.6,,5-5-4-5,108.0-40.1,13.3,480(-6),,,テイエムハリアー,755.7
6,2011/10/30,5京都8,曇,4,障害3歳上OP,201108050804,,14,5,7,4.8,2,3,熊沢重文,60,0.0,0.0,1.0,3170,0.0,1.0,0.0,0.0,,3:32.0,0.6,,12-12-7-6,104.0-38.5,13.4,486(+14),,,タマモユニヴァース,350.0
7,2011/07/30,4小倉1,晴,8,小倉サマージャンプ(J.G3),201110040108,,14,6,9,2.8,1,4,熊沢重文,58,0.0,0.0,1.0,3390,0.0,1.0,0.0,0.0,,3:44.7,1.7,,2-2-3-4,104.0-39.2,13.3,472(-6),,,ドングラシアス,450.0
8,2011/07/10,4京都4,晴,4,障害3歳上OP,201108040404,,14,5,7,4.3,2,2,熊沢重文,60,0.0,0.0,1.0,3170,0.0,1.0,0.0,0.0,,3:30.3,1.0,,4-4-2-2,104.0-38.1,13.3,478(0),,,ディアマジェスティ,560.0
9,2011/06/04,3阪神1,晴,4,障害3歳上未勝利,201109030104,,14,3,3,3.6,2,1,熊沢重文,60,0.0,0.0,1.0,2970,0.0,1.0,0.0,0.0,,3:19.9,-0.5,,1-1-1-2,107.0-40.0,13.5,478(0),,,(サザンギャラクシー),730.0
10,2011/05/08,3京都6,晴,11,都大路S(OP),201108030611,,15,3,5,151.9,13,12,熊沢重文,56,0.0,1.0,0.0,1800,0.0,1.0,0.0,0.0,**,1:46.5,1.7,**,13-12,34.7-34.7,35.3,478(+2),,,ネオヴァンドーム,
