,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,芝,ダ,1,稍,良,重,不,17,18,19,20,21,22,23,24,25,26,27,28
0,2009/06/21,2福島2,曇,11,福島テレビOP(OP),200903020211,,15,8,15,19.6,8,12,後藤浩輝,55,1.0,0.0,1800,0.0,0.0,1.0,0.0,**,1:50.6,1.7,**,2-2-2-2,35.7-36.5,38.1,506(-2),,,トーホウレーサー,
1,2008/10/25,4東京5,曇,11,富士S(G3),200805040511,,18,3,6,52.4,12,16,吉田隼人,56,1.0,0.0,1600,0.0,1.0,0.0,0.0,**,1:34.0,1.3,**,8-7,34.6-34.8,35.4,508(+6),,,サイレントプライド,
2,2008/10/05,4阪神8,曇,10,ポートアイランドS(OP),200809040810,,18,4,7,14.6,6,5,田中勝春,55,1.0,0.0,1600,1.0,0.0,0.0,0.0,**,1:35.6,0.9,**,4-3,36.5-34.1,34.7,502(0),,,マイネルレーニア,240.0
3,2008/09/14,4中山2,晴,11,京成杯オータムH(G3),200806040211,,16,5,10,8.8,5,12,横山典弘,54,1.0,0.0,1600,0.0,1.0,0.0,0.0,**,1:33.6,1.5,**,9-12-14,32.8-36.2,36.6,502(-6),,,キストゥヘヴン,
4,2008/05/11,2東京6,曇,11,NHKマイルC(G1),200805020611,,18,1,1,11.6,6,7,横山典弘,57,1.0,0.0,1600,1.0,0.0,0.0,0.0,**,1:35.6,1.4,**,6-5,34.6-35.0,35.7,508(+2),,,ディープスカイ,
5,2008/04/12,3中山5,晴,11,ニュージーランドT(G2),200806030511,,16,2,4,18.0,6,1,横山典弘,56,1.0,0.0,1600,0.0,1.0,0.0,0.0,**,1:35.0,-0.1,**,5-5-4,34.5-37.3,35.9,506(-2),,,(エーシンフォワード),"5,517.6"
6,2008/03/23,2中山8,晴,7,3歳500万下,200806020807,,16,8,16,3.6,2,1,横山典弘,56,1.0,0.0,1600,0.0,1.0,0.0,0.0,**,1:35.7,-0.1,**,8-11-9,35.1-36.7,35.7,508(-2),,,(カヴァリーノ),700.0
7,2008/01/26,1中山7,晴,9,若竹賞(500万下),200806010709,,14,7,12,9.4,3,4,横山典弘,56,1.0,0.0,1800,0.0,1.0,0.0,0.0,**,1:49.5,0.4,**,3-3-2-2,35.1-36.7,36.9,510(+2),,,ショウナンアルバ,150.0
8,2008/01/05,1中山1,晴,5,3歳未勝利,200806010105,,15,2,4,1.8,1,1,横山典弘,56,1.0,0.0,1600,0.0,1.0,0.0,0.0,**,1:35.8,-0.4,**,1-1-1,34.9-35.9,35.9,508(+6),,,(ロードバロック),500.0
9,2007/12/09,5中山4,晴,3,2歳未勝利,200706050403,,15,8,15,1.6,1,2,武豊,55,1.0,0.0,1600,0.0,1.0,0.0,0.0,**,1:35.6,0.2,**,5-3-3,34.6-36.0,35.9,502(-2),,,アサクサダンディ,200.0
10,2007/11/10,5東京3,雨,3,2歳未勝利,200705050303,,8,7,7,2.1,1,2,横山典弘,55,1.0,0.0,1800,1.0,0.0,0.0,0.0,**,1:50.0,0.3,**,6-6-5,36.2-35.4,35.4,504(-4),,,マイネルチャールズ,200.0
11,2007/10/28,4東京9,晴,4,2歳新馬,200705040904,,11,7,9,2.3,1,3,横山典弘,55,1.0,0.0,1600,0.0,0.0,1.0,0.0,**,1:36.3,0.0,**,5-6,36.2-34.9,34.4,508(0),,,フサイチアソート,180.0
