,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,芝,障,ダ,1,不,稍,良,重,17,18,19,20,21,22,23,24,25,26,27,28
0,2013/08/03,2新潟3,曇,10,信濃川特別(1000万下),201304020310,,17,6,11,491.1,16,14,大庭和弥,54.0,1.0,0.0,0.0,2000,0.0,0.0,1.0,0.0,**,2:00.2,1.4,**,3-3,36.2-33.7,34.7,470(+8),,,クランモンタナ,
1,2013/06/15,3東京5,曇,10,芦ノ湖特別(1000万下),201305030510,,13,7,10,161.2,12,12,松岡正海,55.0,1.0,0.0,0.0,2400,0.0,0.0,1.0,0.0,**,2:26.4,1.1,**,3-3-3-4,35.8-35.3,36.1,462(+2),,,ドリームゴスペル,
2,2013/05/25,3京都11,晴,8,京都ハイジャンプ(J.G2),201308031108,,13,7,10,157.7,13,11,田村太雅,60.0,0.0,1.0,0.0,3930,0.0,0.0,1.0,0.0,,4:33.6,10.1,,10-12-11-11,105.0-38.2,13.9,460(-20),,,テイエムハリアー,
3,2013/03/03,2中山4,晴,4,障害4歳上OP,201306020404,,13,6,9,19.5,6,13,平沢健治,60.0,0.0,1.0,0.0,3200,0.0,0.0,1.0,0.0,,3:42.6,6.8,,8-9-12-12,107.0-40.0,13.9,480(-2),,,サンレイデューク,
4,2013/02/02,1東京3,晴,8,春麗ジャンプS(OP),201305010308,,14,3,4,22.7,7,8,平沢健治,60.0,0.0,1.0,0.0,3100,0.0,0.0,1.0,0.0,,3:27.0,1.5,,1-1-1-3,105.0-40.6,13.4,482(+10),,,セイエイ,
5,2012/10/28,4京都9,雨,4,障害3歳上OP,201208040904,,13,2,2,30.9,8,2,平沢健治,60.0,0.0,1.0,0.0,3170,0.0,0.0,1.0,0.0,,3:34.5,0.9,,2-2-3-1,107.0-39.2,13.5,472(+2),,,モズハリケーン,480.0
6,2012/10/14,4東京5,小雨,12,昇仙峡特別(1000万下),201205040512,,12,6,8,32.1,7,9,木幡初広,56.0,1.0,0.0,0.0,1800,0.0,0.0,1.0,0.0,**,1:47.6,0.9,**,5-3-3,35.5-34.8,35.2,470(0),,,マーブルデイビー,
7,2012/09/22,4中山6,曇,4,障害3歳上未勝利,201206040604,,14,2,2,7.5,4,1,平沢健治,60.0,0.0,1.0,0.0,2880,0.0,0.0,1.0,0.0,,3:14.9,0.0,,1-1-1-1,107.0-38.1,13.5,470(+10),,,(シュヴァルツシルト),700.0
8,2012/08/25,3新潟5,晴,4,障害3歳上未勝利,201204030504,,12,7,10,20.0,5,6,平沢健治,60.0,0.0,1.0,0.0,2850,0.0,0.0,1.0,0.0,,3:05.8,0.9,,8-8-5-4,103.0-37.5,13.0,460(+2),,,コブラボール,
9,2012/08/11,3新潟1,曇,4,障害3歳上未勝利,201204030104,,14,3,4,6.8,5,10,大庭和弥,60.0,0.0,1.0,0.0,2850,0.0,0.0,1.0,0.0,,3:07.0,2.4,,10-11-11-11,104.0-37.6,13.1,458(-6),,,ダイバーシティ,
10,2012/07/07,2福島7,雨,4,障害3歳上未勝利,201203020704,,14,4,6,9.4,6,5,平沢健治,60.0,0.0,1.0,0.0,2770,1.0,0.0,0.0,0.0,,3:14.5,5.7,,8-10-9-8,113.0-43.0,14.0,464(-4),,,ゴーゴーシュンスケ,70.0
11,2012/02/25,2中山1,曇,12,4歳上1000万下,201206020112,,16,2,3,12.9,5,8,田中勝春,57.0,1.0,0.0,0.0,1600,1.0,0.0,0.0,0.0,**,1:38.9,1.0,**,8-8-9,35.7-37.8,37.8,468(-6),,,ドリームバスケット,
12,2012/01/29,2京都2,曇,9,春日特別(1000万下),201208020209,,15,5,9,17.0,6,15,武豊,57.0,1.0,0.0,0.0,1800,0.0,0.0,1.0,0.0,**,1:49.1,1.6,**,4-5,36.6-34.6,35.9,474(+2),,,メイショウウズシオ,
13,2012/01/05,1中山1,晴,12,4歳上1000万下,201206010112,,16,6,12,7.8,3,7,嶋田純次,54.0,1.0,0.0,0.0,1600,0.0,0.0,1.0,0.0,**,1:33.2,0.3,**,6-3-4,34.6-35.6,35.3,472(-2),,,ディープサウンド,
14,2011/12/24,5中山7,晴,7,3歳上1000万下,201106050707,,14,5,7,7.3,4,2,田中勝春,57.0,1.0,0.0,0.0,1600,0.0,0.0,1.0,0.0,**,1:35.8,0.1,**,2-2-2,36.6-34.5,34.5,474(0),,,ミステリートレイン,420.0
15,2011/05/08,2東京6,晴,9,八ヶ岳特別(1000万下),201105020609,,13,7,11,12.3,5,4,武豊,57.0,1.0,0.0,0.0,1800,0.0,0.0,1.0,0.0,**,1:47.4,0.2,**,3-2-2,36.9-34.4,34.6,474(+8),,,ビンテージチャート,220.0
16,2011/04/10,2阪神6,晴,7,4歳上1000万下,201109020607,,18,2,3,4.1,2,10,田中勝春,57.0,1.0,0.0,0.0,1600,0.0,0.0,1.0,0.0,**,1:35.4,0.3,**,11-13,35.0-35.7,35.2,466(-2),,,トゥリオンファーレ,
17,2011/02/20,1東京8,曇,7,4歳上1000万下,201105010807,,16,6,12,5.4,3,6,田中勝春,57.0,1.0,0.0,0.0,1800,0.0,0.0,1.0,0.0,**,1:48.1,0.7,**,4-5-5,36.1-35.0,35.2,468(+4),,,マイネルグート,
18,2011/01/23,1中山8,晴,10,若潮賞(1000万下),201106010810,,15,6,10,16.3,6,2,田中勝春,57.5,1.0,0.0,0.0,1600,0.0,0.0,1.0,0.0,**,1:34.0,0.3,**,3-5-4,34.5-35.5,35.0,464(+4),,,ナシュワンヒーロー,600.6
19,2010/04/18,3中山8,晴,12,中山スプリングP(1600万下),201006030812,,16,8,15,25.6,9,11,吉田豊,56.0,1.0,0.0,0.0,1600,0.0,1.0,0.0,0.0,**,1:35.3,0.9,**,7-9-10,35.6-35.9,35.7,460(-2),,,ミクロコスモス,
20,2010/03/06,2中山3,雨,10,スピカS(1600万下),201006020310,,12,3,3,5.0,2,3,田中勝春,57.0,1.0,0.0,0.0,1800,0.0,0.0,0.0,1.0,**,1:51.7,0.2,**,5-4-5-6,37.2-37.2,36.8,462(-2),,,ショウナンライジン,454.0
21,2010/02/07,1東京4,晴,10,早春S(1600万下),201005010410,,12,8,11,9.9,4,5,柴山雄一,56.0,1.0,0.0,0.0,1800,0.0,0.0,1.0,0.0,**,1:47.4,0.3,**,3-3-3,35.2-34.1,34.3,464(-2),,,コロンバスサークル,178.0
22,2010/01/16,1中山5,晴,10,初富士S(1600万下),201006010510,,14,2,2,6.9,5,2,クラスト,54.0,1.0,0.0,0.0,1800,0.0,0.0,1.0,0.0,**,1:48.2,0.2,**,2-2-4-3,36.5-35.5,35.5,466(+2),,,モエレビクトリー,719.6
23,2009/12/20,5中山6,晴,10,クリスマスC(1600万下),200906050610,,16,5,10,17.4,7,5,クラスト,54.0,1.0,0.0,0.0,1600,0.0,0.0,1.0,0.0,**,1:33.5,0.3,**,2-2-2,34.4-35.1,35.3,464(+10),,,マルタカエンペラー,178.0
24,2009/11/15,5東京4,晴,10,ノベンバーS(1600万下),200905050410,,18,6,11,209.8,16,4,クラスト,55.0,1.0,0.0,0.0,1800,0.0,0.0,1.0,0.0,**,1:47.0,0.1,**,1-1-1,36.4-34.7,34.8,454(+4),,,チョウカイファイト,270.0
25,2009/10/25,4東京6,曇,11,テレビ静岡賞(1600万下),200905040611,,18,1,1,85.1,16,17,丸田恭介,53.0,1.0,0.0,0.0,1800,0.0,1.0,0.0,0.0,**,1:49.4,1.8,**,5-5-5,35.8-35.3,36.6,450(+2),,,ゴールデンダリア,
