,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,芝,障,ダ,1,稍,良,重,不,17,18,19,20,21,22,23,24,25,26,27,28
0,2014/05/04,1新潟2,晴,4,障害4歳上未勝利,201404010204,,14,2,2,1.8,1,1,大江原圭,60,0.0,1.0,0.0,2890,0.0,1.0,0.0,0.0,,3:11.1,-0.2,,2-3-3-3,104.0-37.8,13.2,460(+2),,,(リアルブラック),700.0
1,2014/04/12,1福島1,晴,4,障害4歳上未勝利,201403010104,,14,7,12,3.2,2,2,大江原圭,60,0.0,1.0,0.0,2750,0.0,1.0,0.0,0.0,,3:05.3,0.6,,5-5-5-4,107.0-38.9,13.5,458(+2),,,スカイアクセス,280.0
2,2014/03/22,2中京4,晴,4,障害4歳上未勝利,201407020404,,13,5,6,16.3,5,3,大江原圭,60,0.0,1.0,0.0,3000,0.0,1.0,0.0,0.0,,3:22.7,0.9,,4-3-2-2,107.0-39.1,13.5,456(+4),,,エーシンホワイティ,180.0
3,2014/02/01,1東京1,晴,11,白富士S(OP),201405010111,,14,6,9,377.2,14,10,江田照男,56,1.0,0.0,0.0,2000,0.0,1.0,0.0,0.0,**,2:00.8,1.0,**,14-13-12,36.3-35.1,33.5,452(+6),,,エアソミュール,
4,2013/09/01,2新潟12,曇,11,新潟記念(G3),201304021211,,14,2,2,137.4,12,7,江田照男,53,1.0,0.0,0.0,2000,1.0,0.0,0.0,0.0,**,1:59.6,0.7,**,12-14,35.6-34.7,34.7,446(-4),,,コスモネモシン,
5,2013/08/11,2新潟6,晴,11,関屋記念(G3),201304020611,,18,5,9,309.3,16,12,田中勝春,56,1.0,0.0,0.0,1600,0.0,1.0,0.0,0.0,**,1:33.3,0.8,**,13-13,34.5-34.6,33.9,450(0),,,レッドスパーダ,
6,2013/07/21,2福島8,曇,11,福島テレビOP(OP),201303020811,,14,8,14,12.7,7,8,田中勝春,56,1.0,0.0,0.0,1800,0.0,1.0,0.0,0.0,**,1:49.0,0.7,**,14-14-14-14,36.0-36.4,35.2,450(-2),,,シルクアーネスト,
7,2013/05/18,2東京9,晴,11,メイS(OP),201305020911,,18,2,3,88.6,13,9,御神本訓,53,1.0,0.0,0.0,1800,0.0,1.0,0.0,0.0,**,1:46.0,0.8,**,17-17-16,34.4-35.5,33.3,452(0),,,タムロスカイ,
8,2013/03/24,2阪神2,晴,11,六甲S(OP),201309020211,,18,8,18,127.6,15,12,中舘英二,56,1.0,0.0,0.0,1600,0.0,1.0,0.0,0.0,**,1:34.7,0.7,**,16-18,35.3-34.0,33.6,452(-12),,,シャイニーホーク,
9,2013/02/24,2中山2,晴,11,中山記念(G2),201306020211,,15,7,13,159.4,12,9,江田照男,56,1.0,0.0,0.0,1800,0.0,1.0,0.0,0.0,**,1:47.9,0.6,**,15-15-13-12,36.2-37.3,35.1,464(+4),,,ナカヤマナイト,
10,2013/01/05,1中山1,曇,11,日刊スポ賞中山金杯(G3),201306010111,,16,1,1,27.7,8,11,村田一誠,53,1.0,0.0,0.0,2000,0.0,1.0,0.0,0.0,**,2:00.1,0.6,**,13-13-11-11,36.0-35.0,34.7,460(0),,,タッチミーノット,
11,2012/12/15,5中山5,雨,11,ディセンバーS(OP),201206050511,,15,7,12,67.7,11,6,村田一誠,56,1.0,0.0,0.0,1800,1.0,0.0,0.0,0.0,**,1:48.1,0.3,**,12-12-12-11,36.3-36.1,34.8,460(+8),,,ベールドインパクト,
12,2012/08/26,2小倉10,晴,11,小倉日経OP(OP),201210021011,,16,2,4,18.5,8,14,川須栄彦,56,1.0,0.0,0.0,1800,0.0,1.0,0.0,0.0,**,1:46.2,1.0,**,15-15-16-16,35.5-35.2,34.4,452(+4),,,ダローネガ,
13,2012/08/05,2小倉4,晴,11,小倉記念(G3),201210020411,,12,6,7,30.9,10,8,高倉稜,53,1.0,0.0,0.0,2000,0.0,1.0,0.0,0.0,**,1:58.2,0.9,**,12-11-10-10,34.5-34.9,35.0,448(-2),,,エクスペディション,
14,2012/07/08,2福島8,晴,11,七夕賞(G3),201203020811,,16,6,11,17.0,6,5,田中勝春,53,1.0,0.0,0.0,2000,1.0,0.0,0.0,0.0,**,2:01.2,0.1,**,10-11-11-11,35.5-36.6,35.7,450(-2),,,アスカクリチャン,400.0
15,2012/06/16,2福島1,雨,11,阿武隈S(1600万下),201203020111,,10,3,3,6.0,4,1,田中勝春,55,1.0,0.0,0.0,2000,0.0,1.0,0.0,0.0,**,2:00.4,-0.2,**,8-7-8-6,35.2-38.4,36.5,452(-6),,,(セタガヤフラッグ),"1,725.2"
16,2012/04/07,3中山5,曇,10,湾岸S(1600万下),201206030510,,12,8,12,32.9,10,9,田辺裕信,57,1.0,0.0,0.0,2200,0.0,1.0,0.0,0.0,**,2:14.6,0.8,**,3-3-3-2,37.3-34.9,35.3,458(-2),,,アドマイヤラクティ,
17,2012/03/25,3中山2,晴,10,常総S(1600万下),201206030210,,9,7,7,18.3,8,7,北村宏司,56,1.0,0.0,0.0,2000,1.0,0.0,0.0,0.0,**,2:03.8,0.3,**,6-6-6-6,38.4-35.1,34.7,460(0),,,タムロスカイ,
18,2012/03/03,2中山3,晴,10,スピカS(1600万下),201206020310,,11,8,10,23.2,6,4,北村宏司,57,1.0,0.0,0.0,1800,0.0,0.0,1.0,0.0,**,1:51.0,0.2,**,7-8-8-6,37.5-35.8,35.3,460(+2),,,サトノタイガー,260.0
19,2012/01/29,1東京2,晴,10,節分S(1600万下),201205010210,,16,8,15,48.9,10,12,田中勝春,57,1.0,0.0,0.0,1600,0.0,1.0,0.0,0.0,**,1:35.1,1.0,**,3-3,35.7-34.8,35.5,458(+6),,,ドリームカトラス,
20,2011/12/11,5中山4,晴,10,美浦S(1600万下),201106050410,,12,5,6,13.4,5,5,坂井英光,57,1.0,0.0,0.0,1800,0.0,1.0,0.0,0.0,**,1:48.6,0.5,**,7-8-8-8,37.2-34.7,34.6,452(+6),,,ネオサクセス,177.0
21,2011/10/01,4中山7,曇,11,韓国馬事会杯(1600万下),201106040711,,12,5,5,10.4,5,9,大野拓弥,56,1.0,0.0,0.0,1600,0.0,1.0,0.0,0.0,**,1:35.7,0.9,**,8-8-7,36.5-34.2,33.8,446(+4),,,ダイワファルコン,
22,2011/09/11,4中山2,晴,10,レインボーS(1600万下),201106040210,,12,6,7,7.8,5,6,大野拓弥,57,1.0,0.0,0.0,2000,0.0,1.0,0.0,0.0,**,1:59.9,0.3,**,3-3-2-2,36.7-35.3,35.5,442(-4),,,カワキタコマンド,
23,2011/07/16,4京都5,晴,11,大文字S(1600万下),201108040511,,13,6,8,19.8,7,6,高倉稜,56,1.0,0.0,0.0,1800,0.0,1.0,0.0,0.0,**,1:46.1,0.8,**,12-12,35.1-33.8,33.5,446(0),,,ミッキードリーム,
24,2011/06/19,3中山2,曇,9,鹿野山特別(1000万下),201106030209,,10,3,3,9.2,5,1,北村宏司,57,1.0,0.0,0.0,1800,1.0,0.0,0.0,0.0,**,1:47.8,-0.2,**,3-3-3-3,36.3-34.5,34.3,446(-6),,,(ゲームマエストロ),"1,492.4"
25,2011/05/15,2東京8,晴,12,被災地支援きぼう賞(1600万下),201105020812,,12,7,10,15.8,7,10,柴田善臣,57,1.0,0.0,0.0,1800,0.0,1.0,0.0,0.0,**,1:47.7,1.2,**,9-4-6,36.2-34.9,35.6,452(0),,,エーブチェアマン,
26,2011/04/10,2小倉12,晴,11,博多S(1600万下),201110021211,,16,1,2,28.6,9,4,高倉稜,57,1.0,0.0,0.0,2000,0.0,1.0,0.0,0.0,**,1:58.9,0.5,**,6-4-2-2,34.4-36.3,36.5,452(-2),,,マイネルゴルト,250.0
27,2011/03/05,2中山3,晴,10,スピカS(1600万下),201106020310,,8,1,1,30.9,5,4,柴田善臣,57,1.0,0.0,0.0,1800,0.0,1.0,0.0,0.0,**,1:48.1,0.6,**,7-5-5-5,36.1-36.5,34.7,454(-2),,,ダイワファルコン,270.0
28,2011/01/15,1中山5,曇,10,サンライズS(1600万下),201106010510,,16,7,13,17.5,7,13,吉田豊,56,1.0,0.0,0.0,1200,0.0,1.0,0.0,0.0,**,1:09.2,0.9,**,16-16,33.3-35.0,34.4,456(0),,,セイコーライコウ,
29,2010/12/04,5中山1,晴,12,市川S(1600万下),201006050112,,13,8,13,26.5,9,13,武幸四郎,56,1.0,0.0,0.0,1600,0.0,1.0,0.0,0.0,**,1:34.2,1.8,**,10-8-12,34.2-35.5,35.9,456(+10),,,ヒットジャポット,
30,2010/10/31,4東京8,曇,10,紅葉S(1600万下),201005040810,,14,3,4,21.3,9,8,藤田伸二,55,1.0,0.0,0.0,1600,1.0,0.0,0.0,0.0,**,1:34.5,1.0,**,10-8,35.1-34.6,34.7,446(+2),,,フラガラッハ,
31,2010/05/09,2東京6,晴,11,NHKマイルC(G1),201005020611,,18,3,6,89.5,14,17,北村宏司,57,1.0,0.0,0.0,1600,0.0,1.0,0.0,0.0,**,1:33.9,2.5,**,10-12,33.4-35.1,36.3,444(-6),,,ダノンシャンティ,
32,2010/04/10,3中山5,晴,11,ニュージーランドT(G2),201006030511,,16,1,1,6.3,3,5,北村宏司,56,1.0,0.0,0.0,1600,0.0,1.0,0.0,0.0,**,1:33.6,0.7,**,8-9-8,34.9-34.9,34.9,450(0),,,サンライズプリンス,540.0
33,2010/02/27,1阪神1,晴,11,アーリントンC(G3),201009010111,,16,1,2,4.7,2,6,北村宏司,56,1.0,0.0,0.0,1600,0.0,1.0,0.0,0.0,**,1:35.6,0.8,**,8-9,36.3-35.2,34.8,450(0),,,コスモセンサー,
34,2009/12/20,5中山6,晴,11,朝日フューチュリティ(G1),200906050611,,16,8,16,23.4,7,5,北村宏司,55,1.0,0.0,0.0,1600,0.0,1.0,0.0,0.0,**,1:34.7,0.7,**,12-12-12,34.2-35.6,35.2,450(+4),,,ローズキングダム,630.0
35,2009/11/21,5東京5,晴,11,東京スポーツ杯2歳S(G3),200905050511,,17,2,3,7.0,5,6,北村宏司,55,1.0,0.0,0.0,1800,0.0,1.0,0.0,0.0,**,1:48.6,0.4,**,2-4-4,36.2-34.4,34.4,446(0),,,ローズキングダム,
36,2009/10/03,4中山7,曇,9,芙蓉S(OP),200906040709,,11,6,6,3.2,2,1,北村宏司,55,1.0,0.0,0.0,1600,1.0,0.0,0.0,0.0,**,1:34.7,-0.2,**,8-7-7,35.2-35.8,35.3,446(+10),,,(サクラテンペスト),"1,628.0"
37,2009/09/19,4中山3,晴,5,2歳新馬,200906040305,,11,8,11,5.3,3,1,北村宏司,54,1.0,0.0,0.0,1600,0.0,1.0,0.0,0.0,**,1:35.4,-0.8,**,3-2-2,35.9-35.2,35.1,436(0),,,(リンガスバロン),700.0
