,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,芝,ダ,1,良,稍,不,重,17,18,19,20,21,22,23,24,25,26,27,28
0,2013/09/08,4阪神2,曇,9,野分特別(1000万下),201309040209,,9,1,1,34.7,6,7,武幸四郎,57,1.0,0.0,1800,1.0,0.0,0.0,0.0,**,1:47.9,1.0,**,1-1,35.3-35.3,36.3,448(-2),,,フルーキー,
1,2013/02/02,1中京5,晴,11,中京スポニチ賞(1000万下),201307010511,,14,1,1,53.9,11,13,上村洋行,57,1.0,0.0,1400,1.0,0.0,0.0,0.0,**,1:24.2,0.9,**,13-14,35.7-35.2,35.3,450(+4),,,デンコウジュピター,
2,2012/06/09,1函館1,曇,11,HTB杯(1000万下),201202010111,,10,7,8,3.3,2,10,藤田伸二,56,1.0,0.0,1800,1.0,0.0,0.0,0.0,**,1:50.2,1.4,**,1-1-1-1,34.7-36.7,38.1,446(-2),,,メイショウゾウセン,
3,2012/04/21,3京都1,晴,11,オーストラリアT(1600万下),201208030111,,14,8,14,38.3,12,13,藤田伸二,57,1.0,0.0,1600,1.0,0.0,0.0,0.0,**,1:36.1,3.2,**,3-3,34.2-35.3,38.3,448(+8),,,ブレイブファイト,
4,2011/05/08,2東京6,晴,11,NHKマイルC(G1),201105020611,,18,1,2,79.3,17,18,柴原央明,57,1.0,0.0,1600,1.0,0.0,0.0,0.0,**,1:35.4,3.2,**,4-5,33.9-34.6,37.3,440(+4),,,グランプリボス,
5,2011/04/09,2阪神5,曇,12,ニュージーランドT(G2),201109020512,,18,7,14,39.0,9,9,柴原央明,56,1.0,0.0,1600,1.0,0.0,0.0,0.0,**,1:34.9,0.4,**,1-1,35.9-34.6,35.0,436(-6),,,エイシンオスマン,
6,2011/03/20,1阪神8,曇,10,若葉S(OP),201109010810,,16,3,6,8.7,3,9,柴原央明,56,1.0,0.0,2000,1.0,0.0,0.0,0.0,**,2:00.6,1.5,**,1-1-1-1,35.3-35.5,37.0,442(0),,,ダノンミル,
7,2011/02/06,2京都4,晴,11,きさらぎ賞(G3),201108020411,,12,6,7,43.3,8,2,柴原央明,56,1.0,0.0,1800,1.0,0.0,0.0,0.0,**,1:47.6,0.0,**,1-1,35.3-35.4,35.4,442(-6),,,トーセンラー,"1,612.2"
8,2011/01/05,1京都1,曇,5,3歳未勝利,201108010105,,16,8,15,78.3,9,1,柴原央明,56,1.0,0.0,1800,1.0,0.0,0.0,0.0,**,1:49.5,-0.1,**,1-1,36.0-35.4,35.4,448(-4),,,(ダノンウィスラー),500.0
9,2010/12/04,5阪神1,晴,6,2歳新馬,201009050106,,15,6,11,6.7,3,11,藤田伸二,55,1.0,0.0,1400,1.0,0.0,0.0,0.0,**,1:23.7,2.4,**,2-3,34.4-35.3,37.5,452(0),,,ノーブルジュエリー,
