,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,ダ,芝,障,1,良,稍,不,重,17,18,19,20,21,22,23,24,25,26,27,28
0,2016/05/21,1新潟7,晴,4,障害4歳上未勝利,201604010704,,14,8,14,3.2,1,7,高田潤,60,0.0,0.0,1.0,2890,1.0,0.0,0.0,0.0,,3:11.2,1.1,,11-12-10-10,104.0-39.4,13.2,482(+2),,,ケンブリッジアーサ,
1,2016/05/08,1新潟4,晴,4,障害4歳上未勝利,201604010404,,13,6,8,3.5,2,5,山本康志,60,0.0,0.0,1.0,2890,1.0,0.0,0.0,0.0,,3:10.7,0.4,,2-2-2-2,107.0-39.5,13.2,480(-2),,,キープトライン,75.0
2,2016/04/09,1福島1,晴,4,障害4歳上未勝利,201603010104,,14,8,14,4.9,2,2,山本康志,60,0.0,0.0,1.0,2750,1.0,0.0,0.0,0.0,,3:01.0,0.2,,1-1-1-1,105.0-38.0,13.2,482(-2),,,マコトサダイジン,300.0
3,2016/03/13,2中京2,曇,5,障害4歳上未勝利,201607020205,,14,5,7,20.2,7,5,山本康志,60,0.0,0.0,1.0,3000,1.0,0.0,0.0,0.0,,3:19.3,1.6,,4-4-6-7,105.0-39.3,13.3,484(+12),,,アロヒラニ,75.0
4,2015/08/08,2新潟3,晴,10,阿賀野川特別(1000万下),201504020310,,16,4,8,111.4,14,13,江田照男,57,0.0,1.0,0.0,2200,1.0,0.0,0.0,0.0,**,2:13.2,1.3,**,8-8-8-8,35.4-35.6,35.8,472(-8),,,ショウナンバッハ,
5,2015/06/13,3東京3,曇,10,江の島特別(1000万下),201505030310,,11,1,1,105.6,10,10,江田照男,57,0.0,1.0,0.0,1600,1.0,0.0,0.0,0.0,**,1:35.0,1.0,**,3-3,35.9-34.5,34.4,480(0),,,サングラス,
6,2015/05/23,2東京9,晴,12,4歳上1000万下,201505020912,,18,8,18,73.1,14,13,江田照男,57,0.0,1.0,0.0,1400,1.0,0.0,0.0,0.0,**,1:21.6,1.5,**,17-17,34.1-34.5,33.6,480(+2),,,トーキングドラム,
7,2015/05/09,2東京5,曇,9,高尾特別(1000万下),201505020509,,16,7,14,39.6,8,9,江田照男,57,0.0,1.0,0.0,1400,1.0,0.0,0.0,0.0,**,1:22.0,0.8,**,13-7,34.5-34.9,34.9,478(0),,,ゼウス,
8,2015/01/18,1中京2,晴,12,知立特別(1000万下),201507010212,,17,3,5,37.0,13,17,中井裕二,56,0.0,1.0,0.0,1400,1.0,0.0,0.0,0.0,**,1:25.1,2.4,**,16-14,34.9-36.0,37.3,478(-14),,,アルマディヴァン,
9,2015/01/04,1中山1,晴,8,4歳上1000万下,201506010108,,16,8,15,28.2,9,14,横山典弘,57,1.0,0.0,0.0,1200,1.0,0.0,0.0,0.0,**,1:12.9,1.3,**,14-15,34.4-37.2,37.1,492(+10),,,ラヴィアンクレール,
10,2014/10/14,4京都3,晴,9,久多特別(1000万下),201408040309,,16,8,16,53.4,13,14,津村明秀,57,0.0,1.0,0.0,1400,1.0,0.0,0.0,0.0,**,1:22.0,0.9,**,16-16,35.4-34.1,33.1,482(-4),,,ベルルミエール,
11,2014/09/20,3新潟3,晴,10,初風特別(1000万下),201404030310,,18,7,13,27.2,10,9,柴田善臣,57,0.0,1.0,0.0,1200,1.0,0.0,0.0,0.0,**,1:09.3,0.5,**,17-17,34.0-34.8,33.7,486(-2),,,エターナルムーン,
12,2014/09/07,2新潟12,晴,10,オフサイドトラップC(1000万下),201404021210,,13,1,1,11.3,5,11,西田雄一,57,0.0,1.0,0.0,1600,1.0,0.0,0.0,0.0,**,1:35.9,0.7,**,5-5,37.0-34.1,33.7,488(+6),,,ウィケットキーパー,
13,2014/08/24,2新潟8,曇,10,豊栄特別(1000万下),201404020810,,16,3,6,31.1,10,5,西田雄一,57,0.0,1.0,0.0,1400,1.0,0.0,0.0,0.0,**,1:21.4,0.3,**,12-14,33.9-35.7,34.6,482(+2),,,ミナレット,147.0
14,2014/07/26,3中京7,晴,10,知多特別(1000万下),201407030710,,12,7,10,17.4,8,8,酒井学,57,0.0,1.0,0.0,1400,1.0,0.0,0.0,0.0,**,1:24.0,1.6,**,4-4,35.1-35.5,36.6,480(+8),,,アドマイヤイナズマ,
15,2014/04/05,2阪神3,曇,11,コーラルS(OP),201409020311,,16,5,10,63.9,12,15,藤岡佑介,55,1.0,0.0,0.0,1400,1.0,0.0,0.0,0.0,**,1:25.0,1.6,**,15-13,34.6-36.5,36.7,472(-10),,,エアハリファ,
