,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,ダ,芝,障,1,稍,良,不,重,17,18,19,20,21,22,23,24,25,26,27,28
0,2017/04/29,1新潟1,晴,1,障害4歳上未勝利,201704010101,,14,5,8,5.4,2,3,石神深一,60,0.0,0.0,1.0,2890,0.0,1.0,0.0,0.0,,3:08.9,1.0,,3-3-3-3,102.0-37.1,13.1,508(-4),,,メイショウライナー,200.0
1,2017/03/12,2中京2,晴,5,障害4歳上未勝利,201707020205,,14,1,1,6.1,3,8,石神深一,60,0.0,0.0,1.0,3000,0.0,1.0,0.0,0.0,,3:20.4,2.6,,10-8-9-8,105.0-38.6,13.4,512(+8),,,プリンスダム,
2,2016/07/24,2福島8,晴,11,福島テレビOP(OP),201603020811,,9,6,6,15.4,6,5,田中勝春,57,0.0,1.0,0.0,1800,0.0,1.0,0.0,0.0,**,1:48.0,0.7,**,3-3-3-4,35.4-36.2,36.2,504(-4),,,ウインフルブルーム,240.0
3,2016/05/01,1新潟2,曇,11,谷川岳S(OP),201604010211,,15,1,1,9.7,5,12,田中勝春,57,0.0,1.0,0.0,1600,1.0,0.0,0.0,0.0,**,1:34.6,1.1,**,14-14,35.8-34.3,34.1,508(+2),,,ピークトラム,
4,2016/04/03,3中山4,曇,11,ダービー卿チャレンジ(G3),201606030411,,16,5,9,34.6,9,10,田中勝春,56,0.0,1.0,0.0,1600,0.0,1.0,0.0,0.0,**,1:33.6,0.8,**,12-10-9,35.3-34.5,34.2,506(0),,,マジックタイム,
5,2016/03/13,2中山6,曇,10,東風S(OP),201606020610,,13,2,2,58.8,11,1,田中勝春,56,0.0,1.0,0.0,1600,0.0,1.0,0.0,0.0,**,1:34.5,0.0,**,10-9-8,35.7-35.3,34.7,506(0),,,(アルバタックス),"2,328.7"
6,2015/12/19,5阪神5,晴,11,リゲルS(OP),201509050511,,16,4,8,40.2,9,12,池添謙一,56,0.0,1.0,0.0,1600,0.0,1.0,0.0,0.0,**,1:35.2,1.1,**,14-14,36.3-33.9,33.4,506(+6),,,ダッシングブレイズ,
7,2015/11/01,4京都9,曇,11,カシオペアS(OP),201508040911,,11,8,11,50.1,9,6,川島信二,56,0.0,1.0,0.0,1800,0.0,1.0,0.0,0.0,**,1:46.0,0.3,**,11-9,34.8-34.4,33.8,500(+4),,,トーセンスターダム,
8,2015/10/04,4阪神9,晴,11,ポートアイランドS(OP),201509040911,,16,4,7,21.9,10,9,田中勝春,56,0.0,1.0,0.0,1600,0.0,1.0,0.0,0.0,**,1:34.7,1.0,**,10-10,35.6-34.4,34.5,496(-10),,,フルーキー,
9,2015/07/26,2福島8,晴,11,福島テレビOP(OP),201503020811,,12,3,3,5.6,3,4,田中勝春,56,0.0,1.0,0.0,1800,0.0,1.0,0.0,0.0,**,1:47.0,0.1,**,7-7-7-6,35.7-35.5,34.7,506(-2),,,サクラアルディート,350.0
10,2015/06/28,3東京8,晴,11,パラダイスS(OP),201505030811,,16,3,5,3.7,1,16,田中勝春,56,0.0,1.0,0.0,1400,0.0,1.0,0.0,0.0,**,1:22.3,1.8,**,11-12,35.0-34.1,34.7,508(-2),,,スマートオリオン,
11,2015/05/03,1新潟2,晴,11,谷川岳S(OP),201504010211,,16,1,2,4.4,2,4,川島信二,56,0.0,1.0,0.0,1600,0.0,1.0,0.0,0.0,**,1:33.9,0.2,**,10-10,36.5-33.3,32.6,510(+4),,,サトノギャラント,330.0
12,2015/04/05,3中山4,小雨,11,ダービー卿チャレンジ(G3),201506030411,,16,2,4,24.4,9,3,田中勝春,56,0.0,1.0,0.0,1600,0.0,1.0,0.0,0.0,**,1:32.9,0.7,**,8-12-13,35.6-34.2,33.9,506(-6),,,モーリス,958.2
13,2015/03/15,2中山6,晴,10,東風S(OP),201506020610,,14,8,14,60.5,12,3,田中勝春,56,0.0,1.0,0.0,1600,0.0,1.0,0.0,0.0,**,1:34.1,0.3,**,3-4-5,35.2-35.4,35.2,512(+4),,,クラリティシチー,555.6
14,2015/01/11,1中山4,晴,11,ポルックスS(OP),201506010411,,16,3,5,83.6,13,14,ブノワ,56,1.0,0.0,0.0,1800,0.0,1.0,0.0,0.0,**,1:54.7,2.0,**,2-2-2-2,35.9-38.9,40.8,508(-4),,,イッシンドウタイ,
15,2014/12/27,4中山7,晴,11,師走S(OP),201406040711,,13,5,6,31.2,8,10,後藤浩輝,56,1.0,0.0,0.0,1800,0.0,1.0,0.0,0.0,**,1:54.7,1.9,**,12-12-8-8,36.1-38.8,39.1,512(+16),,,マスクトヒーロー,
16,2014/10/25,4東京6,晴,11,富士S(G3),201405040611,,16,2,3,112.2,13,16,田中勝春,56,0.0,1.0,0.0,1600,0.0,1.0,0.0,0.0,**,1:34.7,1.5,**,16-16,35.6-33.8,33.7,496(0),,,ステファノス,
17,2014/05/17,2東京7,晴,11,京王杯スプリングC(G2),201405020711,,15,4,6,15.4,6,12,田中勝春,56,0.0,1.0,0.0,1400,0.0,1.0,0.0,0.0,**,1:21.0,1.3,**,15-15,33.7-35.0,33.7,496(0),,,レッドスパーダ,
18,2014/04/06,3中山4,曇,11,ダービー卿チャレンジ(G3),201406030411,,16,4,8,58.8,13,6,田中勝春,56,0.0,1.0,0.0,1600,1.0,0.0,0.0,0.0,**,1:34.8,0.2,**,15-16-13,34.8-36.7,35.5,496(0),,,カレンブラックヒル,
19,2013/11/23,5東京7,晴,11,キャピタルS(OP),201305050711,,18,7,13,10.3,6,16,後藤浩輝,56,0.0,1.0,0.0,1600,0.0,1.0,0.0,0.0,**,1:34.0,0.8,**,8-7,35.0-34.3,34.5,496(+4),,,サトノギャラント,
20,2013/10/19,4東京6,曇,11,富士S(G3),201305040611,,15,2,2,9.5,3,9,田中勝春,55,0.0,1.0,0.0,1600,0.0,1.0,0.0,0.0,**,1:33.9,0.4,**,11-11,35.8-33.8,33.4,492(-2),,,ダノンシャーク,
21,2013/09/08,4中山2,雨,11,京成杯オータムH(G3),201306040211,,14,1,1,7.2,4,12,田中勝春,55,0.0,1.0,0.0,1600,0.0,1.0,0.0,0.0,**,1:33.2,1.4,**,12-12-12,34.0-35.1,34.3,494(-2),,,エクセラントカーヴ,
22,2013/05/05,2東京6,晴,11,NHKマイルC(G1),201305020611,,18,8,17,14.2,6,2,田中勝春,57,0.0,1.0,0.0,1600,0.0,1.0,0.0,0.0,**,1:32.7,0.0,**,12-10,34.4-34.9,33.9,496(-4),,,マイネルホウオウ,"3,809.2"
23,2013/03/16,2中京3,晴,11,中スポ賞ファルコンS(G3),201307020311,,18,1,2,4.9,2,1,田中勝春,56,0.0,1.0,0.0,1400,0.0,1.0,0.0,0.0,**,1:22.2,-0.1,**,10-9,34.9-35.5,34.7,500(-4),,,(カシノピカチュウ),"3,768.6"
24,2013/02/10,1東京6,晴,7,3歳500万下,201305010607,,16,3,6,3.2,1,1,田中勝春,56,0.0,1.0,0.0,1400,0.0,1.0,0.0,0.0,**,1:22.7,-0.2,**,2-2,36.6-33.7,33.6,504(+8),,,(コスモリープリング),700.0
25,2012/11/24,5東京7,曇,2,2歳未勝利,201205050702,,18,6,11,6.2,2,1,田中勝春,55,0.0,1.0,0.0,1400,0.0,1.0,0.0,0.0,**,1:22.7,0.0,**,10-7,35.8-34.7,34.0,496(+10),,,(ケイアイホクトセイ),500.0
26,2012/07/28,2新潟5,晴,5,2歳新馬,201204020505,,17,1,1,5.0,3,2,田中勝春,54,0.0,1.0,0.0,1600,0.0,1.0,0.0,0.0,**,1:35.9,0.4,**,3-4,35.4-36.4,35.1,486(0),,,シェイクザバーレイ,280.0
