,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,ダ,芝,1,不,良,重,稍,17,18,19,20,21,22,23,24,25,26,27,28
0,2014/10/12,4東京2,晴,9,六社特別(1000万下),201405040209,,12,3,3,9.7,5,9,柴山雄一,57.0,0.0,1.0,1600,0.0,1.0,0.0,0.0,**,1:34.1,0.9,**,1-1,35.3-34.9,35.8,498(+2),,,ベストドリーム,
1,2014/07/26,3中京7,晴,10,知多特別(1000万下),201407030710,,12,5,6,9.1,4,10,大野拓弥,57.0,0.0,1.0,1400,0.0,1.0,0.0,0.0,**,1:24.1,1.7,**,2-2,35.1-35.5,37.1,496(+4),,,アドマイヤイナズマ,
2,2014/06/21,3東京5,曇,10,相模湖特別(1000万下),201405030510,,13,7,10,3.9,2,5,石橋脩,57.0,0.0,1.0,1400,0.0,1.0,0.0,0.0,**,1:21.0,0.3,**,3-3,35.0-34.1,34.0,492(0),,,マカハ,148.0
3,2014/06/08,3東京2,小雨,10,由比ヶ浜特別(1000万下),201405030210,,13,4,5,4.5,2,2,柴山雄一,57.5,0.0,1.0,1400,1.0,0.0,0.0,0.0,**,1:25.1,0.2,**,4-4,36.4-36.3,36.2,492(0),,,モグモグパクパク,598.6
4,2014/03/30,2阪神2,曇,10,心斎橋S(1600万下),201409020210,,18,4,8,3.0,1,7,ペドロサ,56.0,0.0,1.0,1400,0.0,0.0,1.0,0.0,**,1:23.5,0.5,**,5-7,33.5-38.1,38.1,492(-4),,,オリービン,
5,2014/03/08,1阪神3,晴,10,武庫川S(1600万下),201409010310,,9,8,9,5.9,3,3,ペドロサ,57.0,0.0,1.0,1600,0.0,1.0,0.0,0.0,**,1:34.8,0.1,**,3-3,36.5-34.3,33.9,496(+2),,,マウントシャスタ,452.8
6,2014/02/10,1東京3,晴,11,白嶺S(1600万下),201405010311,,15,6,12,4.3,2,8,リスポリ,56.0,1.0,0.0,1600,1.0,0.0,0.0,0.0,**,1:36.6,1.0,**,6-5,34.4-36.5,37.0,494(-8),,,レーザーバレット,
7,2014/01/11,1中山3,晴,11,招福S(1600万下),201406010311,,16,8,16,6.9,3,8,ベリー,56.0,1.0,0.0,1800,0.0,0.0,1.0,0.0,**,1:52.2,0.7,**,4-2-1-1,36.6-37.9,38.6,502(+12),,,イッシンドウタイ,
8,2013/09/29,4中山9,晴,10,ながつきS(1600万下),201306040910,,16,5,10,4.2,2,7,戸崎圭太,54.0,1.0,0.0,1800,0.0,1.0,0.0,0.0,**,1:54.8,2.1,**,9-9-7-8,37.2-38.3,39.1,490(-6),,,ジェベルムーサ,
9,2013/06/30,2福島2,晴,11,ラジオNIKKEI賞(G3),201303020211,,16,7,13,3.7,1,15,内田博幸,56.0,0.0,1.0,1800,0.0,1.0,0.0,0.0,**,1:48.7,0.8,**,7-7-8-11,35.8-35.2,35.6,496(+6),,,ケイアイチョウサン,
10,2013/05/05,2東京6,晴,11,NHKマイルC(G1),201305020611,,18,5,10,5.2,2,5,ウィリア,57.0,0.0,1.0,1600,0.0,1.0,0.0,0.0,**,1:33.0,0.3,**,2-2,34.4-34.9,35.1,490(-2),,,マイネルホウオウ,920.0
11,2013/03/23,2阪神1,晴,11,毎日杯(G3),201309020111,,13,4,5,21.9,6,2,シュタル,56.0,0.0,1.0,1800,0.0,1.0,0.0,0.0,**,1:46.7,0.5,**,4-5,34.8-35.8,36.0,492(-6),,,キズナ,"1,513.6"
12,2013/02/09,1東京5,晴,6,3歳500万下,201305010506,,16,8,16,2.3,1,2,ビュイッ,56.0,1.0,0.0,1600,0.0,1.0,0.0,0.0,**,1:38.3,0.0,**,7-8,35.6-37.3,36.6,498(-2),,,ベストウォーリア,280.0
13,2013/01/14,1中山5,雪,4,3歳新馬,201306010504,,16,6,12,3.0,1,1,ビュイッ,56.0,1.0,0.0,1800,0.0,0.0,1.0,0.0,**,1:56.5,-1.2,**,5-5-3-3,39.1-38.5,38.3,500(0),,,(スペーストリップ),600.0
