,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,芝,障,ダ,1,良,重,稍,不,17,18,19,20,21,22,23,24,25,26,27,28
0,2016/07/30,2小倉1,晴,4,障害3歳上未勝利,201610020104,,9,7,7,2.1,1,1,熊沢重文,58,0.0,1.0,0.0,2860,1.0,0.0,0.0,0.0,,3:09.4,-1.1,,1-1-1-1,105.0-40.0,13.2,460(+6),,,(メイショウメイザン),750.0
1,2016/06/26,3東京8,晴,11,パラダイスS(OP),201605030811,,13,2,2,14.2,5,11,津村明秀,54,1.0,0.0,0.0,1400,1.0,0.0,0.0,0.0,**,1:22.1,1.1,**,2-2,34.9-34.6,35.6,454(-12),,,マイネルアウラート,
2,2016/05/22,1新潟8,晴,11,韋駄天S(OP),201604010811,,16,1,1,24.5,8,9,津村明秀,53,1.0,0.0,0.0,1000,1.0,0.0,0.0,0.0,**,0:55.2,0.8,**,,32.5-32.6,32.8,466(+22),,,プリンセスムーン,
3,2015/09/13,4阪神2,晴,11,セントウルS(G2),201509040211,,16,3,5,54.4,11,11,池添謙一,54,1.0,0.0,0.0,1200,1.0,0.0,0.0,0.0,**,1:08.6,0.8,**,15-14,34.0-33.8,33.4,444(-6),,,アクティブミノル,
4,2015/08/09,1札幌4,晴,11,UHB賞(OP),201501010411,,12,5,5,4.6,2,8,津村明秀,53,1.0,0.0,0.0,1200,1.0,0.0,0.0,0.0,**,1:08.0,0.5,**,2-2,33.4-34.1,34.5,450(-8),,,エポワス,
5,2015/07/05,3中京2,曇,11,CBC賞(G3),201507030211,,17,7,14,8.6,4,9,和田竜二,53,1.0,0.0,0.0,1200,0.0,1.0,0.0,0.0,**,1:09.8,0.7,**,6-7,33.4-35.7,35.5,458(-2),,,ウリウリ,
6,2015/05/31,3京都12,晴,10,安土城S(OP),201508031210,,17,1,1,6.6,2,2,津村明秀,53,1.0,0.0,0.0,1400,1.0,0.0,0.0,0.0,**,1:19.2,0.2,**,1-1,34.0-34.0,34.2,460(+4),,,ウリウリ,890.6
7,2015/02/01,2京都2,晴,11,シルクロードS(G3),201508020211,,17,7,13,21.0,10,14,和田竜二,53,1.0,0.0,0.0,1200,1.0,0.0,0.0,0.0,**,1:09.3,1.4,**,9-9,33.9-34.0,34.8,456(0),,,アンバルブライベン,
8,2015/01/04,1京都1,晴,11,スポニチ賞京都金杯(G3),201508010111,,18,8,17,37.0,8,15,和田竜二,53,1.0,0.0,0.0,1600,1.0,0.0,0.0,0.0,**,1:34.0,1.2,**,4-3,35.6-34.0,34.8,456(+2),,,ウインフルブルーム,
9,2014/11/23,5京都6,晴,11,マイルチャンピオンS(G1),201408050611,,17,1,1,55.0,14,17,和田竜二,54,1.0,0.0,0.0,1600,1.0,0.0,0.0,0.0,**,1:35.0,3.5,**,1-2,33.7-34.8,38.2,454(+14),,,ダノンシャーク,
10,2014/05/11,2東京6,晴,11,NHKマイルC(G1),201405020611,,18,4,7,22.9,8,5,和田竜二,55,1.0,0.0,0.0,1600,1.0,0.0,0.0,0.0,**,1:33.3,0.1,**,2-2,34.6-34.8,34.7,440(-2),,,ミッキーアイル,920.0
11,2014/04/13,2阪神6,曇,11,桜花賞(G1),201409020611,,18,7,15,34.7,6,4,和田竜二,55,1.0,0.0,0.0,1600,1.0,0.0,0.0,0.0,**,1:33.6,0.3,**,10-10,33.8-36.3,34.1,442(-4),,,ハープスター,"1,300.0"
12,2014/03/16,1阪神6,晴,11,フィリーズレビュー(G2),201409010611,,16,4,7,2.6,1,5,和田竜二,54,1.0,0.0,0.0,1400,1.0,0.0,0.0,0.0,**,1:22.5,0.2,**,6-6,34.6-35.6,35.3,446(+6),,,ベルカント,500.0
13,2013/12/08,5阪神4,曇,11,阪神ジュベナイルF(G1),201309050411,,18,8,18,4.7,2,7,和田竜二,54,1.0,0.0,0.0,1600,1.0,0.0,0.0,0.0,**,1:34.3,0.4,**,4-4,34.2-35.5,35.3,440(-4),,,レッドリヴェール,
14,2013/10/05,4京都1,曇,11,デイリー杯2歳S(G2),201308040111,,12,5,6,4.4,2,1,和田竜二,54,1.0,0.0,0.0,1600,1.0,0.0,0.0,0.0,**,1:33.2,0.0,**,2-2,33.9-35.3,35.1,444(0),,,(アトム),"3,644.1"
15,2013/09/01,2小倉12,曇,11,小倉2歳S(G3),201310021211,,15,2,3,4.6,2,1,和田竜二,54,1.0,0.0,0.0,1200,0.0,1.0,0.0,0.0,**,1:08.8,-0.2,**,2-2,33.1-35.7,35.5,444(-2),,,(ベルカント),"3,053.2"
16,2013/07/27,2小倉1,晴,6,2歳新馬,201310020106,,14,4,5,5.9,3,1,和田竜二,54,1.0,0.0,0.0,1200,1.0,0.0,0.0,0.0,**,1:07.8,-0.4,**,1-1,34.0-33.8,33.8,446(0),,,(キンシノキセキ),700.0
