,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,芝,ダ,1,稍,良,不,重,17,18,19,20,21,22,23,24,25,26,27,28
0,2017/04/16,3中山8,晴,10,春雷S(OP),201706030810,,15,7,12,100.7,14,6,石川裕紀,55,1.0,0.0,1200,0.0,1.0,0.0,0.0,**,1:07.9,0.4,**,13-12,34.1-33.4,32.8,488(0),,,フィドゥーシア,
1,2017/03/12,2中山6,晴,10,東風S(OP),201706020610,,10,7,8,106.0,10,8,蛯名正義,56,1.0,0.0,1600,0.0,1.0,0.0,0.0,**,1:37.1,0.4,**,5-5-3,37.6-34.2,34.2,488(+8),,,グレーターロンドン,
2,2016/11/13,5東京4,曇,11,オーロC(OP),201605050411,,18,3,5,118.3,17,14,野中悠太,55,1.0,0.0,1400,0.0,1.0,0.0,0.0,**,1:22.3,0.7,**,9-9,35.2-34.7,34.5,480(0),,,ナックビーナス,
3,2016/10/16,3新潟2,晴,11,信越S(OP),201604030211,,17,5,9,50.5,13,7,丸田恭介,56,1.0,0.0,1400,0.0,1.0,0.0,0.0,**,1:21.1,0.7,**,17-17,33.6-35.2,34.2,480(-10),,,トウショウドラフタ,
4,2016/07/17,2福島6,晴,11,バーデンバーデンC(OP),201603020611,,13,6,9,19.0,8,8,石川裕紀,56,1.0,0.0,1200,0.0,1.0,0.0,0.0,**,1:08.7,0.4,**,10-11,34.0-34.3,33.8,490(+4),,,オウノミチ,
5,2016/06/26,3東京8,晴,11,パラダイスS(OP),201605030811,,13,6,8,9.8,3,9,吉田豊,56,1.0,0.0,1400,0.0,1.0,0.0,0.0,**,1:21.9,0.9,**,11-11,34.9-34.6,34.5,486(+2),,,マイネルアウラート,
6,2016/05/29,3京都12,曇,10,安土城S(OP),201608031210,,18,7,14,40.6,12,9,デュプレ,56,1.0,0.0,1400,0.0,1.0,0.0,0.0,**,1:21.8,0.6,**,16-17,35.4-34.2,33.7,484(-2),,,ミッキーラブソング,
7,2016/05/01,1新潟2,曇,11,谷川岳S(OP),201604010211,,15,8,14,15.9,6,7,津村明秀,56,1.0,0.0,1600,1.0,0.0,0.0,0.0,**,1:34.0,0.5,**,10-13,35.8-34.3,33.8,486(+2),,,ピークトラム,
8,2016/04/10,3中山6,曇,11,春雷S(OP),201606030611,,16,7,14,21.2,10,14,北村宏司,56,1.0,0.0,1200,0.0,1.0,0.0,0.0,**,1:08.4,0.8,**,15-15,33.9-33.7,33.4,484(+10),,,エイシンスパルタン,
9,2015/09/13,4中山2,曇,11,京成杯オータムH(G3),201506040211,,16,8,16,67.4,14,5,柴田善臣,56,1.0,0.0,1600,0.0,1.0,0.0,0.0,**,1:33.3,0.0,**,12-12-12,35.4-34.6,33.9,474(-14),,,フラアンジェリコ,380.0
10,2015/07/19,2福島6,晴,11,バーデンバーデンC(OP),201503020611,,14,8,14,4.6,2,4,蛯名正義,56,1.0,0.0,1200,0.0,1.0,0.0,0.0,**,1:08.2,0.3,**,8-9,33.9-34.0,33.6,488(+2),,,バーバラ,330.0
11,2015/06/28,3東京8,晴,11,パラダイスS(OP),201505030811,,16,6,12,14.8,7,7,柴田善臣,56,1.0,0.0,1400,0.0,1.0,0.0,0.0,**,1:20.9,0.4,**,5-5,35.0-34.1,33.9,486(0),,,スマートオリオン,
12,2015/05/16,2東京7,曇,11,京王杯スプリングC(G2),201505020711,,18,8,18,125.6,16,8,柴田善臣,56,1.0,0.0,1400,0.0,1.0,0.0,0.0,**,1:21.8,0.2,**,3-3,36.0-33.7,33.8,486(+4),,,サクラゴスペル,
13,2015/03/29,2中京6,小雨,11,高松宮記念(G1),201507020611,,18,6,11,108.6,14,10,吉田隼人,57,1.0,0.0,1200,1.0,0.0,0.0,0.0,**,1:09.6,1.1,**,14-14,34.0-34.5,34.3,482(-4),,,エアロヴェロシティ,
14,2015/03/07,2中山3,曇,11,夕刊フジオーシャンS(G3),201506020311,,16,4,7,10.8,6,13,蛯名正義,57,1.0,0.0,1200,1.0,0.0,0.0,0.0,**,1:09.6,0.9,**,12-14,34.0-34.7,34.9,486(-2),,,サクラゴスペル,
15,2014/09/14,3新潟2,晴,11,京成杯オータムH(G3),201404030211,,15,6,11,10.2,7,11,柴田善臣,55,1.0,0.0,1600,0.0,1.0,0.0,0.0,**,1:34.0,0.7,**,12-12,35.9-33.4,33.4,488(0),,,クラレント,
16,2014/08/17,2新潟6,曇,11,関屋記念(G3),201404020611,,16,5,10,25.6,12,6,柴田善臣,53,1.0,0.0,1600,1.0,0.0,0.0,0.0,**,1:33.1,0.6,**,8-9,34.9-34.4,34.3,488(+14),,,クラレント,
17,2014/05/11,2東京6,晴,11,NHKマイルC(G1),201405020611,,18,3,5,8.7,3,6,戸崎圭太,57,1.0,0.0,1600,0.0,1.0,0.0,0.0,**,1:33.3,0.1,**,6-4,34.6-34.8,34.3,474(+4),,,ミッキーアイル,
18,2014/04/12,3中山5,晴,11,ニュージーランドT(G2),201406030511,,15,7,12,3.1,1,1,後藤浩輝,56,1.0,0.0,1600,0.0,1.0,0.0,0.0,**,1:33.3,0.0,**,12-11-8,34.0-35.7,34.5,470(-10),,,(ショウナンワダチ),"5,310.6"
19,2014/03/22,2中京4,晴,11,中スポ賞ファルコンS(G3),201407020411,,18,7,14,4.1,2,6,後藤浩輝,57,1.0,0.0,1400,0.0,1.0,0.0,0.0,**,1:21.6,0.4,**,17-15,33.0-36.3,35.4,480(+2),,,タガノグランパ,
20,2013/12/15,5中山6,晴,11,朝日フューチュリティ(G1),201306050611,,16,6,11,15.2,6,2,後藤浩輝,55,1.0,0.0,1600,0.0,1.0,0.0,0.0,**,1:34.9,0.2,**,6-7-3,35.1-36.1,35.7,478(+2),,,アジアエクスプレス,"2,836.8"
21,2013/11/17,5東京6,晴,9,からまつ賞(500万下),201305050609,,11,1,1,5.5,3,1,後藤浩輝,55,1.0,0.0,1400,0.0,1.0,0.0,0.0,**,1:22.0,-0.3,**,7-6,35.9-34.6,34.2,476(-2),,,(コウエイタケル),980.8
22,2013/10/27,4東京9,晴,8,くるみ賞(500万下),201305040908,,14,6,9,4.5,2,3,戸崎圭太,55,1.0,0.0,1400,0.0,1.0,0.0,0.0,**,1:22.6,0.2,**,9-8,35.4-35.0,34.4,478(+4),,,マイネルディアベル,244.4
23,2013/09/28,4中山8,晴,1,2歳未勝利,201306040801,,16,1,2,2.6,1,1,戸崎圭太,54,1.0,0.0,1200,0.0,1.0,0.0,0.0,**,1:09.2,-0.2,**,9-8,33.8-35.4,34.9,474(-4),,,(アルマエルナト),500.0
24,2013/09/07,4中山1,曇,5,2歳新馬,201306040105,,14,5,8,1.6,1,3,戸崎圭太,54,1.0,0.0,1200,0.0,1.0,0.0,0.0,**,1:10.5,0.9,**,10-11,34.9-34.7,34.3,478(0),,,フリュクティドール,180.0
