,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,ダ,芝,1,稍,良,不,重,17,18,19,20,21,22,23,24,25,26,27,28
0,2017/02/19,1小倉4,晴,11,小倉大賞典(G3),201710010411,,16,6,11,9.7,5,3,田辺裕信,57.5,0.0,1.0,1800,0.0,1.0,0.0,0.0,**,1:46.2,0.4,**,8-8-5-4,34.8-36.5,36.3,504(+4),,,マルターズアポジー,"1,008.1"
1,2017/01/22,1中山7,晴,11,アメリカジョッキーC(G2),201706010711,,17,1,2,19.8,8,10,柴田善臣,57.0,0.0,1.0,2200,0.0,1.0,0.0,0.0,**,2:13.7,1.8,**,4-5-6-6,35.8-36.3,37.5,500(-2),,,タンタアレグリア,
2,2017/01/05,1中山1,晴,11,日刊スポ賞中山金杯(G3),201706010111,,13,2,2,10.9,6,2,田辺裕信,57.5,0.0,1.0,2000,0.0,1.0,0.0,0.0,**,2:00.7,0.1,**,3-2-3-3,36.1-36.7,36.6,502(-2),,,ツクバアズマオー,"1,613.4"
3,2016/12/18,5中山6,晴,11,ディセンバーS(OP),201606050611,,14,6,10,8.0,4,5,田辺裕信,57.0,0.0,1.0,2000,0.0,1.0,0.0,0.0,**,2:01.2,0.3,**,7-7-5-4,36.9-36.0,35.7,504(-4),,,ツクバアズマオー,240.0
4,2016/10/16,4東京5,晴,11,アイルランドT(OP),201605040511,,14,1,1,7.5,4,3,田辺裕信,57.0,0.0,1.0,2000,0.0,1.0,0.0,0.0,**,2:00.4,0.9,**,3-3-2,36.1-35.1,35.6,508(+12),,,ハギノハイブリッド,604.3
5,2016/09/11,4中山2,曇,11,京成杯オータムH(G3),201606040211,,15,3,6,16.7,9,4,田辺裕信,57.5,0.0,1.0,1600,0.0,1.0,0.0,0.0,**,1:33.5,0.5,**,6-8-8,35.1-35.0,34.9,496(0),,,ロードクエスト,490.0
6,2016/08/14,2新潟6,晴,11,関屋記念(G3),201604020611,,18,1,2,26.2,8,8,田辺裕信,56.0,0.0,1.0,1600,0.0,1.0,0.0,0.0,**,1:32.3,0.5,**,14-15,34.4-34.7,33.2,496(+10),,,ヤングマンパワー,
7,2016/07/10,3中京4,晴,11,プロキオンS(G3),201607030411,,15,3,5,10.0,4,13,ルメール,58.0,1.0,0.0,1400,1.0,0.0,0.0,0.0,**,1:23.8,1.7,**,8-8,34.1-36.7,37.8,486(-10),,,ノボバカラ,
8,2016/05/14,2東京7,晴,11,京王杯スプリングC(G2),201605020711,,16,4,8,43.3,10,13,三浦皇成,57.0,0.0,1.0,1400,0.0,1.0,0.0,0.0,**,1:20.7,1.1,**,5-5,34.6-33.5,34.2,496(+6),,,サトノアラジン,
9,2015/11/22,5京都6,曇,11,マイルチャンピオンS(G1),201508050611,,18,8,18,83.5,14,12,横山典弘,56.0,0.0,1.0,1600,0.0,1.0,0.0,0.0,**,1:33.6,0.8,**,2-2,34.6-33.8,34.5,490(+4),,,モーリス,
10,2015/10/24,4東京6,晴,11,富士S(G3),201505040611,,16,3,6,12.9,6,15,横山典弘,57.0,0.0,1.0,1600,0.0,1.0,0.0,0.0,**,1:33.7,1.0,**,3-3,35.1-33.7,34.5,486(+8),,,ダノンプラチナ,
11,2015/05/10,2東京6,晴,11,NHKマイルC(G1),201505020611,,18,4,7,6.4,3,1,横山典弘,57.0,0.0,1.0,1600,0.0,1.0,0.0,0.0,**,1:33.5,-0.2,**,5-5,35.3-34.2,33.9,478(-4),,,(アルビアーノ),"9,582.2"
12,2015/04/19,3中山8,曇,11,皐月賞(G1),201506030811,,15,8,14,52.1,10,5,横山典弘,57.0,0.0,1.0,2000,0.0,1.0,0.0,0.0,**,1:58.9,0.7,**,1-1-1-1,35.2-34.7,35.4,482(+2),,,ドゥラメンテ,970.0
13,2015/03/08,2中山4,曇,11,報知杯弥生賞(G2),201506020411,,11,7,9,9.6,5,6,横山典弘,56.0,0.0,1.0,2000,1.0,0.0,0.0,0.0,**,2:02.6,0.8,**,4-4-4-4,36.2-36.4,36.8,480(-4),,,サトノクラウン,
14,2014/12/21,5阪神6,晴,11,朝日フューチュリティ(G1),201409050611,,18,7,14,5.3,3,3,岩田康誠,55.0,0.0,1.0,1600,1.0,0.0,0.0,0.0,**,1:36.1,0.2,**,7-6,34.9-36.1,35.9,484(+12),,,ダノンプラチナ,"1,818.2"
15,2014/10/11,4東京1,晴,11,いちょうS(G),201405040111,,12,5,6,8.1,4,1,横山典弘,55.0,0.0,1.0,1600,0.0,1.0,0.0,0.0,**,1:33.5,-0.3,**,4-3,34.4-34.9,34.0,472(-8),,,(ネオルミエール),"3,242.7"
16,2014/09/27,4阪神5,晴,2,2歳未勝利,201409040502,,18,7,15,4.1,2,1,岩田康誠,54.0,0.0,1.0,1800,0.0,1.0,0.0,0.0,**,1:46.8,-0.3,**,8-9,35.7-34.7,34.0,480(+2),,,(トーセンビクトリー),500.0
17,2014/07/13,3中京4,曇,1,2歳未勝利,201407030401,,11,7,9,3.5,3,2,戸崎圭太,54.0,0.0,1.0,1600,0.0,1.0,0.0,0.0,**,1:38.9,0.2,**,9-8-8,36.9-36.6,35.0,478(-2),,,カシノハリウッド,200.0
18,2014/07/05,3中京1,曇,5,2歳新馬,201407030105,,15,2,3,12.4,4,4,川須栄彦,54.0,0.0,1.0,1400,1.0,0.0,0.0,0.0,**,1:23.6,0.6,**,8-7,34.8-36.4,36.1,480(0),,,ドルメロ,110.0
