,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,芝,ダ,1,不,良,稍,重,17,18,19,20,21,22,23,24,25,26,27,28
0,2017/03/04,2中山3,曇,11,夕刊フジオーシャンS(G3),201706020311,,16,2,3,5.6,2,4,横山典弘,56,1.0,0.0,1200,0.0,1.0,0.0,0.0,**,1:08.4,0.1,**,4-4,33.6-34.7,34.5,498(0),,,メラグラーナ,620.0
1,2017/01/15,1中山5,晴,10,ニューイヤーS(OP),201706010510,,16,7,13,7.8,3,4,横山典弘,55,1.0,0.0,1600,0.0,1.0,0.0,0.0,**,1:33.9,0.4,**,7-6-6,35.1-34.9,34.9,498(+6),,,マイネルアウラート,350.0
2,2016/11/26,5東京7,晴,11,キャピタルS(OP),201605050711,,15,6,11,24.5,8,3,横山典弘,55,1.0,0.0,1600,0.0,1.0,0.0,0.0,**,1:34.0,0.5,**,9-8,34.1-35.2,34.9,492(+16),,,ブラックムーン,584.8
3,2016/05/29,2東京12,晴,10,東京優駿(G1),201605021210,,18,8,16,350.6,17,18,横山典弘,57,1.0,0.0,2400,0.0,1.0,0.0,0.0,**,2:35.1,11.1,**,18-18-18-18,35.6-34.2,42.1,476(-2),,,マカヒキ,
4,2016/05/08,2東京6,晴,11,NHKマイルC(G1),201605020611,,18,7,14,29.6,9,8,横山典弘,57,1.0,0.0,1600,0.0,1.0,0.0,0.0,**,1:33.1,0.3,**,13-13,34.3-35.1,34.3,478(+2),,,メジャーエンブレム,
5,2016/03/19,2中京3,晴,11,中スポ賞ファルコンS(G3),201607020311,,18,7,15,12.5,3,2,横山典弘,57,1.0,0.0,1400,1.0,0.0,0.0,0.0,**,1:25.3,0.3,**,15-13,33.3-39.7,38.5,476(-2),,,トウショウドラフタ,"1,519.2"
6,2016/01/17,1中山6,曇,11,京成杯(G3),201606010611,,15,8,14,21.8,9,12,横山典弘,57,1.0,0.0,2000,0.0,1.0,0.0,0.0,**,2:02.7,1.3,**,7-7-8-7,36.6-35.7,35.5,478(0),,,プロフェット,
7,2015/12/27,5中山8,曇,9,ホープフルS(G2),201506050809,,12,7,11,29.7,7,7,横山典弘,55,1.0,0.0,2000,0.0,1.0,0.0,0.0,**,2:02.7,0.9,**,10-10-10-11,36.6-35.3,35.0,478(+4),,,ハートレー,
8,2015/10/10,4東京1,曇,11,サウジアラビアRC(G),201505040111,,12,5,6,8.1,4,1,横山典弘,55,1.0,0.0,1600,0.0,1.0,0.0,0.0,**,1:34.2,0.0,**,6-6,34.7-34.9,33.4,474(0),,,(イモータル),"3,242.7"
9,2015/09/06,2札幌6,晴,1,2歳未勝利,201501020601,,13,5,6,1.5,1,1,横山典弘,54,1.0,0.0,1500,0.0,1.0,0.0,0.0,**,1:30.3,-0.8,**,4-6-2,29.1-36.4,35.7,474(-2),,,(メイショウアンカー),500.0
10,2015/08/02,2新潟2,晴,1,2歳未勝利,201504020201,,15,8,14,2.6,2,2,Ｍ．デム,54,1.0,0.0,1600,0.0,1.0,0.0,0.0,**,1:35.5,0.7,**,8-8,36.3-33.4,33.3,476(-4),,,アストラエンブレム,200.0
11,2015/07/12,3中京4,晴,1,2歳未勝利,201507030401,,15,3,4,4.0,2,2,菅原隆一,54,1.0,0.0,1600,0.0,1.0,0.0,0.0,**,1:37.6,0.1,**,4-5-5,36.7-35.9,35.4,480(-4),,,デアリングエッジ,200.0
12,2015/06/07,3東京2,晴,5,2歳新馬,201505030205,,14,5,7,16.7,5,2,菅原隆一,54,1.0,0.0,1600,0.0,1.0,0.0,0.0,**,1:36.0,0.3,**,4-4,37.4-33.9,33.9,484(0),,,ロードクエスト,280.0
