,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,芝,ダ,1,良,重,稍,不,17,18,19,20,21,22,23,24,25,26,27,28
0,2017/03/04,2中山3,曇,10,スピカS(1600万下),201706020310,,10,7,8,7.1,4,5,石橋脩,57,1.0,0.0,1800,1.0,0.0,0.0,0.0,**,1:49.4,0.4,**,1-1-3-4,38.2-34.5,34.5,484(+4),,,ワンブレスアウェイ,182.0
1,2016/12/23,5阪神7,晴,11,六甲アイランドS(1600万下),201609050711,,18,1,2,4.1,1,8,ルメール,56,1.0,0.0,1400,0.0,1.0,0.0,0.0,**,1:22.9,0.5,**,3-3,34.1-36.6,36.8,480(+6),,,スナッチマインド,
2,2016/10/30,4東京9,曇,10,紅葉S(1600万下),201605040910,,11,5,5,7.8,4,5,ルメール,55,1.0,0.0,1600,1.0,0.0,0.0,0.0,**,1:34.5,0.3,**,2-2,35.7-35.0,34.4,474(0),,,アストラエンブレム,182.0
3,2016/09/03,2新潟11,晴,11,長岡S(1600万下),201604021111,,9,5,5,1.8,1,6,戸崎圭太,55,1.0,0.0,1600,1.0,0.0,0.0,0.0,**,1:34.3,0.6,**,4-4,36.5-33.5,33.4,474(+2),,,クラウンロゼ,
4,2016/07/03,2福島2,曇,11,ラジオNIKKEI賞(G3),201603020211,,16,8,15,10.3,5,3,福永祐一,56,1.0,0.0,1800,1.0,0.0,0.0,0.0,**,1:47.2,0.2,**,12-11-14-11,35.3-35.0,34.3,472(+6),,,ゼーヴィント,958.1
5,2016/05/08,2東京6,晴,11,NHKマイルC(G1),201605020611,,18,2,3,11.3,6,16,ボウマン,57,1.0,0.0,1600,1.0,0.0,0.0,0.0,**,1:33.7,0.9,**,3-3,34.3-35.1,35.8,466(0),,,メジャーエンブレム,
6,2016/03/26,2阪神1,晴,11,毎日杯(G3),201609020111,,10,2,2,6.8,4,2,石橋脩,56,1.0,0.0,1800,1.0,0.0,0.0,0.0,**,1:47.5,0.2,**,5-5,36.3-33.3,33.0,466(-4),,,スマートオーディン,"1,510.8"
7,2016/02/27,1阪神1,曇,11,アーリントンC(G3),201609010111,,14,6,10,4.5,1,5,ベリー,56,1.0,0.0,1600,1.0,0.0,0.0,0.0,**,1:34.1,0.0,**,6-5,34.4-35.0,34.6,470(-2),,,レインボーライン,380.0
8,2016/01/05,1中山1,晴,10,ジュニアC(OP),201606010110,,10,8,10,1.9,1,2,ベリー,56,1.0,0.0,1600,1.0,0.0,0.0,0.0,**,1:34.2,0.0,**,7-7-7,36.2-34.4,33.6,472(+8),,,ダンツプリウス,766.8
9,2015/12/19,5中山5,晴,9,ひいらぎ賞(500万下),201506050509,,14,4,5,3.9,2,2,戸崎圭太,55,1.0,0.0,1600,1.0,0.0,0.0,0.0,**,1:34.1,0.0,**,9-6-6,34.5-36.4,35.8,464(0),,,ドーヴァー,409.8
10,2015/10/18,4東京5,晴,4,2歳新馬,201505040504,,12,7,9,2.6,1,1,戸崎圭太,55,1.0,0.0,1600,1.0,0.0,0.0,0.0,**,1:38.6,-0.2,**,4-5,37.5-34.5,33.8,464(0),,,(ホウオウマリリン),700.0
